ccn,state_or_region,reporting_entity_name_common,machine_readable_url
390222,PA,Riddle Memorial Hospital,https://portalapprev.com/ptapp/api/cdm/export/oneclick?recno=761ab413f15bab9524e89eb9efaae620f9c580fbe0940f12b89266a77a4e83d7
393025,PA,Bryn Mawr Rehab,https://portalapprev.com/ptapp/api/cdm/export/oneclick?recno=4bbc2a104f7b53d7bacb15d67fbcf5b3e9b0a095ce004ec2eea1bcaba85814a1
390127,PA,Phoenixville Hospital,https://phoenixville.towerhealth.org/app/files/public/16386f2d-21a4-4d44-83e7-6ae23b388c8a/82-2062413_PhoenixvilleHospital_StandardCharges2022.csv
390324,PA,Physicians Care Surgical Hospital,https://clariti-health.com/csp/clariti/machinereadable/261239962_Physicians%20Care%20Surgical%20Hospital_standardcharges.csv
390123,PA,Pottstown Hospital,https://pottstown.towerhealth.org/app/files/public/827dcd0d-5701-4339-988d-19658c80eaa9/82-2132538_PottstownHospital_StandardCharges2022.csv
390322,PA,Rothman Orthopaedic Specialty Hospital,https://clariti-health.com/csp/clariti/machinereadable/270260289_Rothman%20Orthopaedic%20Specialty%20Hospital_standardcharges.csv
390304,PA,Roxborough Memorial Hospital,https://www.roxboroughmemorial.com/454246163_RoxboroughMemorialHospital_standardcharges.json
393309,PA,Shriners Children's Philadelphia,https://www.shrinerschildrens.org/-/media/files/shc/other/standard-charges/2021/shriners_philadelphia_draft_mr_cdm_210608_v1_final.ashx
393307,PA,St. Christopher's Hospital for Children,https://events.towerhealth.org/app/files/public/4a83b679-d872-41de-a161-6c64ec6e9f46/84-3224793_StChristophersHospitalForChildren_StandardCharges2022.csv
390049,PA,St. Luke's Bethlehem Hospital,https://www.slhn.org/-/media/slhn/Billpay/File/PDF/Standard-Charges/231352213_StLukesHospitalBethlehemCampus_standardcharges.ashx
390242,PA,St. Luke's Allentown Hospital,https://www.slhn.org/-/media/slhn/Billpay/File/PDF/Standard-Charges/231352213_StLukesHospitalAllentownCampus_standardcharges.ashx
390326,PA,St. Luke's Anderson Hospital,https://www.slhn.org/-/media/slhn/Billpay/File/PDF/Standard-Charges/454394739_StLukesHospitalAndersonCampus_standardcharges.ashx
390162,PA,St. Luke's Easton Hospital,https://www.slhn.org/-/media/slhn/Billpay/File/PDF/Standard-Charges/844475996_StLukesHospitalEastonCampus_standardcharges.ashx
390332,PA,St. Luke's Geisinger Hospital,https://www.slhn.org/-/media/slhn/Billpay/File/PDF/Standard-Charges/824432109_GSLHospital_standardcharges.ashx
390194,PA,St. Luke's Lehighton Hospital,https://www.slhn.org/-/media/slhn/Billpay/File/PDF/Standard-Charges/231352213_StLukesHospitalLehightonCampus_standardcharges.ashx
390183,PA,St. Luke's Miners Hospital,https://www.slhn.org/-/media/slhn/Billpay/File/PDF/Standard-Charges/251550350_StLukesHospitalMinersCampus_standardcharges.ashx
390330,PA,St. Luke's Monroe Hospital,https://www.slhn.org/-/media/slhn/Billpay/File/PDF/Standard-Charges/465143606_StLukesHospitalMonroeCampus_standardcharges.ashx
390197,PA,St. Luke's Sacred Heart Hospital,https://www.slhn.org/-/media/slhn/Billpay/File/PDF/Standard-Charges/231352213_StLukesHospitalSacredHeartCampus_standardcharges.ashx
390035,PA,St. Luke's Upper Bucks,https://www.slhn.org/-/media/slhn/Billpay/File/PDF/Standard-Charges/231352203_StLukesHospitalUpperBucksCampus_standardcharges.ashx
310060,PA,St. Luke's Warren Hospital,https://www.slhn.org/-/media/slhn/Billpay/File/PDF/Standard-Charges/221494454_StLukesHospitalWarrenCampus_standardcharges.ashx
390116,PA,Suburban Community Hospital,https://www.suburbanhosp.org/472819044_SuburbanCommunityHospital_standardcharges.json
310057,NJ,Virtua Mount Holly Hospital,https://www.virtua.org/-/media/Files/Virtua%20Enterprise/Virtua%20Corporate/Virtua/documents/Hospital%20Charges%20Information/Virtua%20Health%20Standard%20Charges-F.ashx
310022,NJ,Virtua Voorhees Hospital,https://www.virtua.org/-/media/Files/Virtua%20Enterprise/Virtua%20Corporate/Virtua/documents/Hospital%20Charges%20Information/Virtua%20Health%20Standard%20Charges-F.ashx
390163,PA,Armstrong Center for Medicine and Health,https://www.acmh.org/Files/Admin/ACMH%2DPrice%2DTransparency%2DFinal%2Ecsv
390323,PA,Advanced Surgical Hospital,https://ashospital.net/wp-content/uploads/2022/01/264093335_advanced-surgical-hospital_standard-charges.zip
390050,PA,Allegheny General Hospital,https://goldteamstorage.blob.core.windows.net/hpifilestorage/7871/250969492_HPI-CDM---Allegheny-General_standardcharges.json
390032,PA,Allegheny Valley Hospital,https://goldteamstorage.blob.core.windows.net/hpifilestorage/7872/251875178_HPI-CDM---Allegheny-Valley_standardcharges.json
390160,PA,Canonsburg Hospital,https://goldteamstorage.blob.core.windows.net/hpifilestorage/7875/251737079_HPI-CDM---Canonsburg_standardcharges.json
390267,PA,Forbes Hospital,https://goldteamstorage.blob.core.windows.net/hpifilestorage/7876/250969492_HPI-CDM---Forbes_standardcharges.json
390266,PA,AHN Grove City,https://goldteamstorage.blob.core.windows.net/hpifilestorage/7885/251340370_HPI-CDM---Grove-City_standardcharges.json
110100,PA,Jefferson Hospital,https://goldteamstorage.blob.core.windows.net/hpifilestorage/7877/251260215_HPI-CDM---Jefferson_standardcharges.json
390009,PA,Saint Vincent Hospital,https://goldteamstorage.blob.core.windows.net/hpifilestorage/7878/250965547_HPI-CDM---St.-Vincent_standardcharges.json
330166,NY,Westfield Memorial Hospital,https://goldteamstorage.blob.core.windows.net/hpifilestorage/7880/160743222_HPI-CDM---Westfield_standardcharges.json
390090,PA,West Penn Hospital,https://goldteamstorage.blob.core.windows.net/hpifilestorage/7879/250969492_HPI-CDM---West-Penn_standardcharges.json
390334,PA,Wexford Hospital,https://goldteamstorage.blob.core.windows.net/hpifilestorage/9126/_HPI-CDM---Wexford_standardcharges.json
393030,PA,Allied Services Institute of Rehabilitation,https://www.allied-services.org/documents/232523395_Allied-Services-Institute-of-Rehabilition_standardcharges.xlsx
393036,PA,John Heinz Institute of Rehabilitation,https://www.allied-services.org/documents/232262852_John-Heinz-Institute-of-Rehabilition-Medicine_standardcharges.xlsx
391309,PA,Barnes Kasson Hospital,http://www.barnes-kasson.org/images/docs/1124_CHARGEMASTER_20220126190003.csv
394023,PA,Belmont Behavioral Health System,https://www.belmontbehavioral.com/wp-content/uploads/pricing/2022/belmont_standard_pricing_2022.csv
390072,PA,Berwick Hospital Center,https://berwickhospitalcenter.com/wp-content/uploads/2021/04/Berwick-cdmlist-1.xls
390118,PA,Bradford Regional Medical Center,https://cleverleypteusstatic.blob.core.windows.net/readable/330103_upper-allegheny-health-system_standardcharges.json
330103,NY,Olean General Hospital,https://cleverleypteusstatic.blob.core.windows.net/readable/330103_upper-allegheny-health-system_standardcharges.json
394049,NY,Brooke Glen Behavioral Hospital,https://uhsfilecdn.eskycity.net/bh/200085660-brooke-glen-standard_charges.csv
390168,PA,Butler Memorial Hospital,https://www.butlerhealthsystem.org/documents/content/250965274_ButlerMemorialHospital_StandardCharges.csv
390112,PA,Chan Soon-Shiong Medical Center at Windber,https://www.windbercare.org/wp-content/uploads/2022/02/251244202_Chan_Soon_Shiong_Medical_Center_at_Windber_standardcharges.csv
393304,PA,Children's Home of Pittsburgh,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250402510_upmc-childrens_standardcharges.csv
390093,PA,Clarion Hospital,https://www.butlerhealthsystem.org/documents/clarion/2510910039_ClarionHospital_StandardCharges.csv
394043,PA,Clarion Psychiatric Center,https://uhsfilecdn.eskycity.net/bh/232842434-clarion-standard_charges.csv
390110,PA,Conemaugh Memorial Medical Center,https://www.conemaugh.org/sites/conemaugh/assets/uploads/finance/Conemaugh%20Memorial%20Understanding%20Billing%20and%20Charges%2020181121.xls
391302,PA,Conemaugh Meyersdale Medical Center,https://www.conemaugh.org/sites/conemaugh/assets/uploads/finance/Conemaugh%20Meyersdale%20Understanding%20Billing%20and%20Charges%2020181121.xls
391317,PA,Conemaugh Miners Medical Center,https://www.conemaugh.org/sites/conemaugh/assets/uploads/finance/250977902_Conemaugh_Miners_Medical_Center_Standard_Charges_12202020.zip
390062,PA,Conemaugh Nason Medical Center,https://www.conemaugh.org/sites/conemaugh/assets/uploads/finance/472546387_Nason_Hospital_Standard_Charges_12202020.zip
390036,PA,Heritage Valley Beaver Hospital,https://www.heritagevalley.org/wp-content/uploads/2021/12/25-1801532_Heritage-Valley-Beaver_standardcharges.xlsx
390157,PA,Heritage Valley Kennedy Hospital,https://www.heritagevalley.org/wp-content/uploads/2021/12/25-1801532_Heritage-Valley-Kennedy_standardcharges.xlsx
390037,PA,Heritage Valley Sewickley Hospital,https://www.heritagevalley.org/wp-content/uploads/2021/12/25-1801532_Heritage-Valley-Sewickley_standardcharges.xlsx
394034,PA,The Horsham Clinic,https://uhsfilecdn.eskycity.net/bh/232842434-horsham-standard_charges.csv
390173,PA,Indiana Regional Medical Center,https://res.cloudinary.com/dpmykpsih/raw/upload/irmc-site-339/media/18f9e5c22e6f4bf3ba7d5a0b298c7dc5/250965404_indiana-regional-medical-center_standardchargescsv.xlsx
392027,PA,Kindred Hospital Philadelphia,https://www.kindredhospitals.com/docs/default-source/default-document-library/locations/transitional-care-hospitals/cms-price-transparency-files/philadelphia-4614.csv?sfvrsn=470183ea_2&download=true
392027,PA,Kindred Hospital Philadelphia - Havertown,https://www.kindredhospitals.com/docs/default-source/default-document-library/locations/transitional-care-hospitals/cms-price-transparency-files/havertown-4510.csv?sfvrsn=fd0683ea_2&download=true
393054,PA,Lancaster Rehabilitation Hospital,https://www.lancasterrehabhospital.com/docs/librariesprovider19/default-document-library/208092253_lancasterrehabilitationhospital_standardcharges.csv
393055,PA,St. Mary Rehabilitation Hospital,https://www.stmaryrehabilitationhospital.com/docs/librariesprovider20/default-document-library/273938747_stmaryrehabilitationhospital_standardcharges.csv
390030,PA,Lehigh Valley Hospital,https://www.lvhn.org/sites/default/files/2022-01/231689692_Lehigh_Valley_Hospital_StandardCharges.zip
390185,PA,Lehigh Valley Hospital Hazleton,https://www.lvhn.org/sites/default/files/2021-12/232421970_LVH_Hazleton_StandardCharges.zip
390030,PA,Lehigh Valley Hospital Schuylkill,https://www.lvhn.org/sites/default/files/2021-12/231352202_LVH_Schuylkill_StandardCharges.zip
390201,PA,Lehigh Valley Hospital Pocono,https://www.lvhn.org/sites/default/files/2021-12/240795623_LVH_Pocono_StandardCharges.zip
393038,PA,Magee Rehabilitation Hospital,https://use2webtechstgpricelist.blob.core.windows.net/pricelist/Complete%20File/23-1476328_JMR001_Magee%20Rehabilitation%20Hospital_standardcharges.csv
394040,PA,Meadows Psychiatric Center,https://uhsfilecdn.eskycity.net/bh/232842434-meadows-standard_charges.csv
390113,PA,Meadville Medical Center,https://www.mmchs.org/documents/MMC_Charges_Dec_21.csv
394039,PA,First Hospital,https://www.commonwealthhealth.net/Uploads/Public/Documents/charge-masters/263632720_First%20Hospital_standardcharges.csv
390119,PA,Moses Taylor Hospital,https://www.commonwealthhealth.net/Uploads/Public/Documents/charge-masters/452672023_Moses%20Taylor_standardcharges.csv
390237,PA,Regional Hospital of Scranton,https://www.commonwealthhealth.net/Uploads/Public/Documents/charge-masters/274564798_Scranton_standardcharges.csv
390137,PA,Wilkes-Barre General Hospital,https://www.commonwealthhealth.net/Uploads/Public/Documents/charge-masters/263632648_Wilkes-Barre_standardcharges.csv
398193,PA,OSS Health,https://osshealth.com/uploads/docs/800458999_OSS-Orthopaedic-Hospital-LLC_standard-charges-1.csv
391312,PA,Penn Highlands Brookville,https://www.phhealthcare.org/data/uploads/contentblock/PHH%20DRG%20CDM.csv
390086,PA,Penn Highlands DuBois,https://www.phhealthcare.org/data/uploads/contentblock/PHH%20DRG%20CDM.csv
391315,PA,Penn Highlands Elk,https://www.phhealthcare.org/data/uploads/contentblock/PHH%20DRG%20CDM.csv
390056,PA,Penn Highlands Huntingdon,https://www.phhealthcare.org/data/uploads/contentblock/PHH%20DRG%20CDM.csv
391307,PA,Penn Highlands Tyrone,https://www.phhealthcare.org/data/uploads/contentblock/PHT%20Charge%20Master%20072021.csv
390004,PA,Penn State Health Holy Spirit Medical Center,https://www.pennstatehealth.org/sites/default/files/Finance/Price%20Transparency%20File%20FINAL%201-18-22%20HSMC.txt
390256,PA,Penn State Health Hershey Medical Center,https://www.pennstatehealth.org/sites/default/files/Finance/Price%20Transparency%20File%20FINAL%201-18-22%20HMC.txt
390096,PA,Penn State Health St. Joseph Center,https://www.pennstatehealth.org/sites/default/files/Finance/Price%20Transparency%20File%20FINAL%201-18-22%20SJ.txt
394020,PA,Wellspan Philhaven,https://www.wellspanphilhaven.org/Portals/0/Docs/Forms_NEW/Philhaven%20CDM_12.27.18.xlsx
390199,PA,Punxsutawney Area Hospital,https://www.pah.org/download/?id=3446
390044,PA,Reading Hospital,https://reading.towerhealth.org/app/files/public/c7caf471-08f1-4f5c-8a3a-7e247469bcf3/23-1352204_readinghospital_standardcharges2022.csv
390299,PA,Select Specialty Hospital Camp Hill,https://resources.selectmedical.com/Pricing-Transparency/critical-illness-recovery/25-1885943_Select_Specialty_Hospital-Camp_Hill_standardcharges.csv
390310,PA,Select Specialty Hospital Danville,https://resources.selectmedical.com/Pricing-Transparency/critical-illness-recovery/61-1458009_Select_Specialty_Hospital-Danville_standardcharges.csv
390298,PA,Select Specialty Hospital Erie,https://resources.selectmedical.com/Pricing-Transparency/critical-illness-recovery/25-1858065_Select_Specialty_Hospital_Erie_standardcharges.csv
392039,PA,Select Specialty Hospital Harrisburg,https://resources.selectmedical.com/Pricing-Transparency/critical-illness-recovery/25-1885943_Select_Specialty_Hospital-Harrisburg_standardcharges.csv
390292,PA,Select Specialty Hospital Johnstown,https://resources.selectmedical.com/Pricing-Transparency/critical-illness-recovery/52-2110603_Select_Specialty_Hospital-Johnstown_standardcharges.csv
392036,PA,Select Specialty Hospital Laurel Highlands,https://resources.selectmedical.com/Pricing-Transparency/critical-illness-recovery/25-1855814_Select_Specialty_Hospital-Laurel_Highlands_standardcharges.csv
392045,PA,Select Specialty Hospital McKeesport,https://resources.selectmedical.com/Pricing-Transparency/critical-illness-recovery/80-0077092_Select_Specialty_Hospital-McKeesport_standardcharges.csv
392044,PA,Select Specialty Hospital Pittsburgh/UPMC,https://resources.selectmedical.com/Pricing-Transparency/critical-illness-recovery/73-1678377_Select_Specialty_Hospital-Pittsburgh-UPMC_standardcharges.csv
390299,PA,Select Specialty Hospital York,https://resources.selectmedical.com/Pricing-Transparency/critical-illness-recovery/25-1885943_Select_Specialty_Hospital-York_standardcharges.csv
390211,PA,Sharon Regional Medical Center,https://content.steward.org/sites/default/files/815457135_SharonRegionalHealthSystem_standardcharges.xlsx
390228,PA,St. Clair Hospital,https://www.stclair.org/wp-content/uploads/2022/05/4-1-22-Machine-Readable-File-SCH.csv
390316,PA,Surgical Institute of Reading,https://sireading.com/680561190_SurgicalInstituteofReading_standardcharges.json
391314,PA,Titusville Area Hospital,https://www.titusvillehospital.org/documents/250965579_TAH_standardcharges-EDITED-12.01.21.csv
390041,PA,Uniontown Hospital,https://www.uniontownhospital.com/Files/Admin/WVU%2DMEDICINE%2DUNIONTOWN%2DHOSPITAL%5FSTANDARD%2DCHARGES%2Ecsv
390073,PA,UPMC Altoona,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/231352155_upmc-altoona_standardcharges.csv
390117,PA,UPMC Bedford,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/231396795_upmc-bedford_standardcharges.csv
390058,PA,UPMC Carlisle,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/machine-readable-csv-not-json/820880337_upmc-carlisle_standardcharges.csv
393302,PA,UPMC Children's Hospital of Pittsburgh,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250402510_upmc-childrens_standardcharges.csv
391313,PA,UPMC Cole,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/240802108_upmc-cole_standardcharges.csv
390206,PA,UPMC Community Osteopathic,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/machine-readable-csv-not-json/251778644_upmc-pinnacle-hospitals_standardcharges.csv
390328,PA,UPMC East,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/274814831_upmc-east_standardcharges.csv
390063,PA,UPMC Hamot,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250965387_upmc-hamot_standardcharges.csv
390233,PA,UPMC Hanover,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/machine-readable-csv-not-json/231360851_upmc-hanover_standardcharges.csv
390067,PA,UPMC Harrisburg,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/machine-readable-csv-not-json/251778644_upmc-pinnacle-hospitals_standardcharges.csv
390178,PA,UPMC Horizon,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250523970_upmc-horizon_standardcharges.csv
390016,PA,UPMC Jameson,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250965406_upmc-jameson_standardcharges.csv
390104,PA,UPMC Kane,https://www.kanecommunityhospital.com/assets/Uploads/250998168_upmc-kane_standardcharges.csv
390068,PA,UPMC Lititz,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/machine-readable-csv-not-json/820844453_upmc-lititz_standardcharges.csv
390071,PA,UPMC Lock Haven,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/821600494_upmc-lock-haven_standardcharges.csv
390114,PA,UPMC Magee-Womens Hospital,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250965420_upmc-magee_standardcharges.csv
390002,PA,UPMC McKeesport,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250965423_upmc-mckeesport_standardcharges.csv
390101,PA,UPMC Memorial,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/machine-readable-csv-not-json/820912090_upmc-memorial_standardcharges.csv
390028,PA,UPMC Mercy,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250965429_upmc-mercy_standardcharges.csv
391301,PA,UPMC Muncy,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/240806023_upmc-muncy_standardcharges.csv
390091,PA,UPMC Northwest,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250489010_upmc-northwest_standardcharges.csv
390107,PA,UPMC Passavant,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250965451_upmc-passavant_standardcharges.csv
390164,PA,UPMC Presbyterian,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250965480_presbyterian-shadyside_standardcharges.csv
390055,PA,UPMC Shadyside,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250965480_presbyterian-shadyside_standardcharges.csv
390039,PA,UPMC Somerset,https://www.somersethospital.com/wp-content/uploads/2022/03/250965570_upmc-somerset_standardcharges.csv
390102,PA,UPMC St. Margaret,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/232875070_upmc-st-margaret_standardcharges.csv
391316,PA,UPMC Wellsboro,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/232176963_upmc-wellsboro_standardcharges.csv
390067,PA,UPMC West Shore,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/machine-readable-csv-not-json/251778644_upmc-pinnacle-hospitals_standardcharges.csv
390164,PA,UPMC Western Psychiatric Hospital,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/250965480_upmc-western-psychiatric_standardcharges.csv
390045,PA,UPMC Williamsport,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/240795508_upmc-williamsport_standardcharges.csv
390045,PA,UPMC Williamsport Divine Providence Campus,https://cdn.upmc.com/-/media/upmc/locations/hospitals/documents/cdm-json-files/240795508_upmc-williamsport_standardcharges.csv
390146,PA,Warren General Hospital,https://goldteamstorage.blob.core.windows.net/hpifilestorage/8133/250965598_HPI-CDM_standardcharges.json
390150,PA,Washington Health System,https://whs.org/wp-content/uploads/2022/03/25-0965600_Washington-Hospital_standardcharges_032822.xlsx
390150,PA,Washington Health System Greene,https://whs.org/wp-content/uploads/2022/03/47-3884840_Washington-Health-System-Greene_standardcharges_032822.xlsx
110124,PA,Wayne Memorial Hospital,https://www.wmh.org/wp-content/uploads/2021/09/WMH-Charge-Info-2021-Website.v2.xlsx
390151,PA,WellSpan Chambersburg Hospital,https://www.wellspan.org/media/2626492/230465970_chambersburg-hospital_standardcharges.json
390225,PA,WellSpan Ephrata Community Hospital,https://www.wellspan.org/media/2659831/231370484_ephrata-hospital_standardcharges.json
390065,PA,WellSpan Gettysburg Hospital,https://www.wellspan.org/media/2659843/231352220_gettysburg-hospital_standardcharges.json
390066,PA,WellSpan Good Samaritan Hospital,https://www.wellspan.org/media/2659840/230794160_good-samaritan-hospital_standardcharges.json
390327,PA,WellSpan Surgery & Rehabilitation Hospital,https://www.wellspan.org/media/2659828/232899911_wellspan-surgery-and-rehabilitation-hospital_standardcharges.json
390138,PA,WellSpan Waynesboro Hospital,https://www.wellspan.org/media/2659834/231360854_waynesboro-hospital_standardcharges.json
390046,PA,WellSpan York Hospital,https://www.wellspan.org/media/2659837/231352222_york-hospital_standardcharges.json
390331,PA,Wills Eye Hospital,https://www.willseye.org/wp-content/uploads/2021/01/Wills-Eye-Hospital-standardcharges.csv
210015,MD,MedStar Franklin Square Medical Center,https://www.medstarhealth.org/-/media/project/mho/medstar/footer/price-transparency-disclosure/price-transparency-2022/520608007_medstar-franklin-square-medical-center_standard-charges.xlsx
090004,MD,MedStar Georgetown University Hospital,https://www.medstarhealth.org/-/media/project/mho/medstar/footer/price-transparency-disclosure/price-transparency-2022/medstar-georgetown-university-hospital_standard-charges.xlsx
