street_address,phone_number,zip_code,has_501c3,fips_county_code,bed_count,city,state_or_region,name_common,name_legal,ccn,facility_type,medicare_medicaid_eligible,lat,lon,ein
202 hospital street,2569742200,35650,,079,98,moulton,AL,lawrence medical center,,010059,Short Term,true,,,
380 woods cove road,2562594444,35768,,071,170,scottsboro,AL,highlands medical center,,010061,Short Term,true,,,
1200 w maple avenue,3346843655,36340,,061,83,geneva,AL,wiregrass medical center,,010062,Short Term,true,,,
3316 highway 280,2563297100,35010,,123,81,alexander city,AL,russell medical center,,010065,Short Term,true,,,
820 w washington st,3346887271,36027,,5,74,eufaula,AL,medical center barbour,,010069,Short Term,true,,,
83825 highway 9    p o box 1270,2563542131,36251,,027,53,ashland,AL,clay county hospital,,010073,Short Term,true,,,
400 east 10th street,2562355121,36207,,015,323,anniston,AL,northeast alabama regional medical center,,010078,Short Term,true,,,
700 west market street,2562339292,35611,,083,71,athens,AL,athens limestone hospital,,010079,Short Term,true,,,
1613 north mckenzie street,2519493400,36535,true,3,112,foley,AL,south baldwin regional medical center,,010083,Short Term,true,,,
1201 7th street se,2563412000,35601,,103,457,decatur,AL,decatur morgan hospital-decatur campus,,010085,Short Term,true,,,
1530 u s highway 43,2054877736,35594,true,093,71,winfield,AL,northwest medical center,,010086,Short Term,true,,,
2451 fillingim street,2514717110,36617,true,097,406,mobile,AL,usa health university hospital,,010087,Short Term,true,,,
3400 highway 78 east,2053874000,35502,,127,267,jasper,AL,walker baptist medical center,,010089,Short Term,true,,,
6801 airport boulevard,2516331000,36608,true,097,349,mobile,AL,providence hospital,,010090,Short Term,true,,,
295 jackson hwy s,2512753191,36451,,025,50,grove hill,AL,grove hill memorial hospital,,010091,Short Term,true,,,
809 university boulevard east,2057597111,35401,,125,787,tuscaloosa,AL,dch regional medical center,,010092,Short Term,true,,,
508 green street,3346243024,36744,,065,39,greensboro,AL,hale county hospital,,010095,Short Term,true,,,
500 hospital drive,3345674311,36092,true,051,38,wetumpka,AL,elmore community hospital,,010097,Short Term,true,,,
1301 belleville avenue,2518678061,36426,,053,65,brewton,AL,d w mcmillan memorial hospital,,010099,Short Term,true,,,
750 morphy avenue,2519282375,36532,,3,162,fairhope,AL,thomas hospital,,010100,Short Term,true,,,
604 stone avenue,2567614542,35161,,121,122,talladega,AL,citizens baptist medical center,,010101,Short Term,true,,,
317 mcwilliams avenue,3346824131,36726,,131,30,camden,AL,j paul jones hospital,,010102,Short Term,true,,,
701 princeton avenue southwest,2057833800,35211,true,073,505,birmingham,AL,princeton baptist medical center,,010103,Short Term,true,,,
3690 grandview parkway,2059711000,35243,true,073,422,birmingham,AL,grandview medical center,,010104,Short Term,true,,,
124 s memorial dr,3343614267,36067,,1,85,prattville,AL,prattville baptist hospital,,010108,Short Term,true,,,
102 west conecuh avenue,3347382140,36089,true,011,61,union springs,AL,bullock county hospital,,010110,Short Term,true,,,
105 highway 80 east,3342894000,36732,,091,99,demopolis,AL,whitfield regional hospital,,010112,Short Term,true,,,
5 mobile infirmary circle,2514354700,36607,,097,669,mobile,AL,mobile infirmary medical center,,010113,Short Term,true,,,
995 9th avenue southwest,2054817000,35021,,073,310,bessemer,AL,"medical west, an affiliate of uab health system",,010114,Short Term,true,,,
1015 medical center parkway,3344184100,36701,true,047,214,selma,AL,vaughan regional medical center parkway campus,,010118,Short Term,true,,,
2016 south alabama avenue,2515753111,36460,,099,94,monroeville,AL,monroe county hospital,,010120,Short Term,true,,,
42024 highway 195 e,2054857117,35565,true,133,49,haleyville,AL,lakeland community hospital,,010125,Short Term,true,,,
1330 highway 231 south,3346705000,36081,,109,97,troy,AL,troy regional medical center,,010126,Short Term,true,,,
220 hospital drive,2512469021,36545,true,025,35,jackson,AL,jackson medical center,,010128,Short Term,true,,,
1815 hand avenue,2519375521,36507,,3,78,bay minette,AL,north baldwin infirmary,,010129,Short Term,true,,,
7063 veterans parkway,2053383301,35125,,115,40,pell city,AL,st vincent's st clair,,010130,Short Term,true,,,
one hospital dr se,2568823100,35801,true,089,147,huntsville,AL,crestwood medical center,,010131,Short Term,true,,,
751 derby drive,2053925263,36925,,119,33,york,AL,hill hospital of sumter county,,010138,Short Term,true,,,
2010 brookwood medical center drive,2058771000,35209,true,073,595,birmingham,AL,brookwood baptist medical center,,010139,Short Term,true,,,
3719 dauphin street,2513449630,36608,true,097,263,mobile,AL,springhill memorial hospital,,010144,Short Term,true,,,
101 crestview avenue,2515782480,36401,true,035,44,evergreen,AL,evergreen medical center,,010148,Short Term,true,,,
400 taylor road,3342448330,36117,,101,150,montgomery,AL,baptist medical center east,,010149,Short Term,true,,,
700 s 19th st,2059338101,35233,,073,479,birmingham,AL,birmingham va medical center,,01014F,,false,,,
29 l v stabler drive,3343822200,36037,true,013,72,greenville,AL,regional medical center of central alabama,,010150,Short Term,true,,,
201 west avalon avenue,2563861601,35661,true,033,198,muscle shoals,AL,shoals hospital,,010157,Short Term,true,,,
15155 highway 43,2563321611,35653,true,059,100,russellville,AL,russellville hospital,,010158,Short Term,true,,,
315 w hickory st,2562495000,35150,,121,168,sylacauga,AL,coosa valley medical center,,010164,Short Term,true,,,
4401 river chase drive,3347323000,36867,true,113,70,phenix city,AL,jack hughston memorial hospital,,010168,Short Term,true,,,
401 medical park drive,2513682500,36502,,053,49,atmore,AL,atmore community hospital,,010169,Short Term,true,,,
2030 lay dam road,2052584400,35045,true,021,30,clanton,AL,st vincent's chilton,,010173,Short Term,true,,,
300 med park drive,2058731442,36784,,025,29,thomasville,AL,thomasville regional medical center,,010174,Short Term,true,,,
4800 48th street,3347569180,36854,,017,115,valley,AL,eamc - lanier,,010175,Short Term,true,,,
3610 springhill mem dr n,2514605280,36608,true,097,1,mobile,AL,gulf coast surgical partners llc,,010176,Short Term,true,,,
215 perry hill rd,3342724670,36109,,101,285,montgomery,AL,central al veterans hlth care system west campus,,01019F,,false,,,
3701 loop road east,2055542000,35404,,125,928,tuscaloosa,AL,tuscaloosa va medical center,,01021F,,false,,,
2400 hospital rd,3347270550,36083,,087,1436,tuskegee,AL,central al veterans hlth care system east campus,,01022F,,false,,,
14600 st. stephens avenue,2518472223,36518,,129,25,chatom,AL,washington county hospital,,011300,Critical Access Hospitals,true,,,
211 hospital road,2563569532,35582,,059,25,red bay,AL,red bay hospital,,011302,Critical Access Hospitals,true,,,
"401 vanity fair lane, po box 618",2054599100,36904,,023,25,butler,AL,choctaw general hospital,,011304,Critical Access Hospitals,true,,,
150 gilbreath drive,2052743000,35121,,9,25,oneonta,AL,st vincents blount,,011305,Critical Access Hospitals,true,,,
1032 main street south,2563572111,36278,,111,15,wedowee,AL,tanner medical center-east alabama,,011306,Critical Access Hospitals,true,,,
5 mobile infirmary circle,2516605611,36607,,097,22,mobile,AL,infirmary ltac hospital,,012006,Long Term,true,,,
"2010 brookwood medical center drive, 3rd floor",2055994595,35209,true,073,38,birmingham,AL,select specialty hospital - birmingham,,012008,Long Term,true,,,
50 medical park east drive 8th floor,2058385100,35235,,073,45,birmingham,AL,"noland hospital birmingham ii, llc",,012009,Long Term,true,,,
"1108 ross clark circle, 4th floor",3346994300,36302,,069,35,dothan,AL,"noland hospital dothan ii, llc",,012010,Long Term,true,,,
"400 east 10th street, 4th floor",2567416141,36202,,015,38,anniston,AL,"noland hospital anniston ii, llc",,012011,Long Term,true,,,
"809 university boulevard east, 4th floor",2057597241,35401,,125,32,tuscaloosa,AL,"noland hospital tuscaloosa ii, llc",,012012,Long Term,true,,,
"700 west market street, 2nd floor",3372699566,35611,true,083,31,athens,AL,north alabama specialty hospital,,012014,Long Term,true,,,
3800 ridgeway drive,2058682000,35209,true,073,100,birmingham,AL,encompass health lakeshore rehabilitation hospital,,013025,Rehabilitation,true,,,
4465 narrow lane rd,3342847821,36116,true,101,70,montgomery,AL,encompass rehabilitation hospital of montgomery,,013028,Rehabilitation,true,,,
1490 highway 72 e,2055352300,35811,true,089,70,huntsville,AL,encompass health rehabilitation hospital north  al,,013029,Rehabilitation,true,,,
1736 east main street,3347126333,36301,true,069,51,dothan,AL,encompass health rehabilitation hospital of dothan,,013030,Rehabilitation,true,,,
900 oak mountain commons lane,2052167621,35124,true,117,34,pelham,AL,encompass health rehabilitation hospital of shelby,,013031,Rehabilitation,true,,,
801 goodyear ave,2564395000,35903,true,055,44,gadsden,AL,encompass health rehabilitation hospital gadsden,,013032,Rehabilitation,true,,,
3715 us highway 431 north,3347322200,36867,true,113,58,phenix city,AL,regional rehabilitation hospital,,013033,Rehabilitation,true,,,
1600 seventh avenue south,2059399100,35233,,073,332,birmingham,AL,children's hospital of alabama,,013300,Childrens Hospitals,true,,,
1700 center street,2514151000,36604,true,097,152,mobile,AL,usa health children's & women's hospital,,013301,Childrens Hospitals,true,,,
6869 fifth avenue south,2058339000,35212,true,073,94,birmingham,AL,hill crest behavioral health services,,014000,Psychiatric,true,,,
3201 scenic highway,2565469265,35902,true,055,68,gadsden,AL,mountain view hospital,,014006,Psychiatric,true,,,
200 university blvd,2057590750,35401,true,125,268,tuscaloosa,AL,bryce hospital,,014007,Psychiatric,true,,,
201 university blvd,2057590900,35401,true,125,96,tuscaloosa,AL,mary s harper geriatric psychiatry center,,014012,Psychiatric,true,,,
700 east cottonwood rd,3347947373,36301,,069,24,dothan,AL,laurel oaks behavioral health center,,014013,Psychiatric,true,,,
5800 southland drive,2516627998,36693,,097,60,mobile,AL,baypointe behavioral health,,014014,Psychiatric,true,,,
150 hospital drive,3343355040,36049,true,041,28,luverne,AL,beacon children's hospital,,014015,Psychiatric,true,,,
"1910 cherokee avenue, sw",2567391239,35055,true,043,40,cullman,AL,"sanctuary at the woodlands, the",,014016,Psychiatric,true,,,
7400 roper lane,2513786500,36526,,3,66,daphne,AL,eastpointe hospital,,014017,Psychiatric,true,,,
"5315 millenium drive, nw",2569646700,35806,true,089,20,huntsville,AL,unity psychiatric care - huntsville,,014018,Psychiatric,true,,,
619 south 19th street,2059344011,35233,,073,0,birmingham,AL,university of alabama hospital,,019800,Transplant Hospitals,true,,,
1600 seventh avenue south,2056389828,35233,,073,0,birmingham,AL,children's hospital of alabama,,019801,Transplant Hospitals,true,,,
3200 providence drive,9075622211,99508,true,020,401,anchorage,AK,providence alaska medical center,,020001,Short Term,true,,,
2500 south woodworth loop,9078616000,99645,,170,74,palmer,AK,mat-su regional medical center,,020006,Short Term,true,,,
3260 hospital dr,9077968900,99801,,110,57,juneau,AK,bartlett regional hospital,,020008,Short Term,true,,,
1650 cowles street,9074528181,99701,,090,162,fairbanks,AK,fairbanks memorial hospital,,020012,Short Term,true,,,
2801 debarr road,9072761131,99508,true,020,250,anchorage,AK,alaska regional hospital,,020017,Short Term,true,,,
po box 287,9075436300,99559,,050,50,bethel,AK,yukon kuskokwim delta reg hospital,,020018,Short Term,true,,,
250 hospital place,9072624404,99669,,120,49,soldotna,AK,central peninsula general hospital,,020024,Short Term,true,,,
4315 diplomacy dr,9077293971,99508,,020,167,anchorage,AK,alaska native medical center,,020026,Short Term,true,,,
3rd + gamble sts,,99501,,020,381,anchorage,AK,us public health service hosp,,02003F,,false,,,
p o box 11 navy 320 seattle wash,,99504,,020,18,anchorage,AK,us naval hosp,,02009F,,false,,,
,,99615,,150,15,kodiak,AK,us navy station hosp,,02010F,,false,,,
apo seattle washington,,99611,,,0,kenai,AK,us air force dispensary,,02011F,,false,,,
elliston afb apo 937 seattle wash,,99702,,090,20,fairbanks,AK,us air force hosp,,02012F,,false,,,
p o box 548,,99686,,,165,valdez,AK,harborview mem hosp,,02015E,,false,,,
po box 550,9078352249,99686,,260,11,valdez,AK,providence valdez medical center,,021301,Critical Access Hospitals,true,,,
"417 first avenue, po box 365",9072245205,99664,,210,6,seward,AK,providence seward medical center,,021302,Critical Access Hospitals,true,,,
po box 589,9077724291,99833,,280,12,petersburg,AK,petersburg medical center,,021304,Critical Access Hospitals,true,,,
232 wood street,9078747000,99929,,280,8,wrangell,AK,searhc wrangell medical center-cah,,021305,Critical Access Hospitals,true,,,
1915 east rezanof drive,9074869592,99615,true,150,25,kodiak,AK,providence kodiak island medical ctr,,021306,Critical Access Hospitals,true,,,
po box 160 - 602 chase avenue,9074248000,99574,,080,13,cordova,AK,cordova community medical center,,021307,Critical Access Hospitals,true,,,
1000 greg kruschek avenue (p o box 966),9074433311,99762,,180,21,nome,AK,norton sound regional hospital,,021308,Critical Access Hospitals,true,,,
p o box 130,9078425201,99576,,070,15,dillingham,AK,kanakanak hospital,,021309,Critical Access Hospitals,true,,,
po box 43,9074423321,99752,,188,17,kotzebue,AK,maniilaq health center,,021310,Critical Access Hospitals,true,,,
3100 tongass avenue,9072255171,99901,true,130,25,ketchikan,AK,ketchikan medical center,,021311,Critical Access Hospitals,true,,,
7000 uula st,9078524611,99723,,040,10,barrow,AK,samuel simmonds memorial hospital,,021312,Critical Access Hospitals,true,,,
4300 bartlett st,9072358101,99603,,120,22,homer,AK,south peninsula hospital,,021313,Critical Access Hospitals,true,,,
222 tongass dr,9079662411,99835,,220,25,sitka,AK,mt edgecumbe hospital,,021314,Critical Access Hospitals,true,,,
4800 cordova street,9075613333,99503,,020,59,anchorage,AK,st elias specialty hospital,,022001,Long Term,true,,,
2530 debarr rd,9072643526,99508,true,020,140,anchorage,AK,north star hospital,,024001,Psychiatric,true,,,
3700 piper street,9072697100,99508,true,020,95,anchorage,AK,alaska psychiatric institute,,024002,Psychiatric,true,,,
1111 east mcdowell road,6028392000,85006,,013,766,phoenix,AZ,banner - university medical center phoenix,,030002,Short Term,true,,,
5301 east grant road,5203275461,85712,,019,596,tucson,AZ,tucson medical center,,030006,Short Term,true,,,
269 south candy lane,9287732357,86326,,025,98,cottonwood,AZ,verde valley medical center,,030007,Short Term,true,,,
1601 west st mary's road,5208723000,85745,,019,400,tucson,AZ,st. mary's hospital,,030010,Short Term,true,,,
350 north wilmot road,5208733000,85711,,019,486,tucson,AZ,st joseph's hospital,,030011,Short Term,true,,,
1003 willow creek road,9284452700,86301,,025,218,prescott,AZ,yavapai regional medical center,,030012,Short Term,true,,,
2400 south avenue a,9283367600,85364,,027,369,yuma,AZ,yuma regional medical center,,030013,Short Term,true,,,
250 east dunlap avenue,6023315862,85020,,013,262,phoenix,AZ,honorhealth john c. lincoln medical center,,030014,Short Term,true,,,
1800 east florence boulevard,5203816300,85122,,021,141,casa grande,AZ,banner casa grande medical center,,030016,Short Term,true,,,
1825 e garfield st,,85006,,013,84,phoenix,AZ,crippled childrens hosp,,03001E,,false,,,
2601 east roosevelt street,6023445011,85008,,013,758,phoenix,AZ,valleywise health medical center,,030022,Short Term,true,,,
1200 north beaver street,9287793366,86001,,5,264,flagstaff,AZ,flagstaff medical center,,030023,Short Term,true,,,
350 west thomas road,6024065001,85013,true,013,586,phoenix,AZ,st. joseph's hospital and medical center,,030024,Short Term,true,,,
2800 east ajo way,5202944471,85713,,019,197,tucson,AZ,"university physicians hospital at kino, the",,03002E,,false,,,
2000 west bethany home road,6022490212,85015,,013,206,phoenix,AZ,abrazo central campus,,030030,Short Term,true,,,
1955 west frye road,4807283000,85224,,013,338,chandler,AZ,chandler regional medical center,,030036,Short Term,true,,,
1800 east van buren street,6022518156,85006,true,013,219,phoenix,AZ,st luke's medical center,,030037,Short Term,true,,,
7400 east osborn road,4808824004,85251,true,013,341,scottsdale,AZ,honorhealth scottsdale osborn medical center,,030038,Short Term,true,,,
5700 east highway 90,5202632000,85635,,3,100,sierra vista,AZ,canyon vista medical center,,030043,Short Term,true,,,
davis-monthan afb,5201111111,85707,,019,60,tucson,AZ,us air force hosp,,03004F,,false,,,
3269 stockton hill road,9287572101,86401,,015,235,kingman,AZ,kingman regional medical center,,030055,Short Term,true,,,
luke afb,6021111111,85301,,013,60,glendale,AZ,us air force hosp - closed,,03005F,,false,,,
10401 west thunderbird boulevard,6238324000,85351,,013,434,sun city,AZ,banner boswell medical center,,030061,Short Term,true,,,
2200 east show low lake road,9285374375,85901,,017,101,show low,AZ,summit healthcare regional medical center,,030062,Short Term,true,,,
1625 north campbell avenue,5208744189,85719,,019,625,tucson,AZ,banner - university medical center tucson campus,,030064,Short Term,true,,,
1400 south  dobson road,4804123000,85202,,013,595,mesa,AZ,banner desert medical center,,030065,Short Term,true,,,
101 civic center lane,9288558185,86403,true,015,152,lake havasu city,AZ,havasu regional medical center,,030069,Short Term,true,,,
williams afb,1112222,85224,,013,33,chandler,AZ,us air force hosp,,03006F,,false,,,
po box 649,9287298000,86504,,1,70,fort defiance,AZ,fort defiance indian hospital,,030071,Short Term,true,,,
po box 600,9282832501,86045,,5,103,tuba city,AZ,tuba city regional health care corporation,,030073,Short Term,true,,,
"highway 86, at topawa road",5203627003,85634,,019,32,sells,AZ,sells hospital,,030074,Short Term,true,,,
103 medicine way road,9284751200,85542,,7,36,peridot,AZ,san carlos apache healthcare,,030077,Short Term,true,,,
4212 north 16th street,6022631200,85016,,013,179,phoenix,AZ,phoenix indian medical center,,030078,Short Term,true,,,
45001 winrow sreet,5204444444,85613,,3,92,fort huachuca,AZ,us army hosp,,03007F,,false,,,
3929 east bell road,6029235609,85032,true,013,136,phoenix,AZ,abrazo scottsdale campus,,030083,Short Term,true,,,
"us hwy 191, hospital road",9286747001,86503,,1,10,chinle,AZ,chinle comprehensive health care facility,,030084,Short Term,true,,,
6200 north la cholla boulevard,5204698100,85741,true,019,300,tucson,AZ,northwest medical center,,030085,Short Term,true,,,
9003 east shea boulevard,4803233000,85260,true,013,425,scottsdale,AZ,honorhealth scottsdale shea medical center,,030087,Short Term,true,,,
6644 east baywood avenue,4803212000,85206,,013,359,mesa,AZ,banner baywood medical center,,030088,Short Term,true,,,
5555 west thunderbird road,6028654470,85306,,013,561,glendale,AZ,banner thunderbird medical center,,030089,Short Term,true,,,
19829 north 27th avenue,6238796100,85027,,013,204,phoenix,AZ,honorhealth deer valley medical center,,030092,Short Term,true,,,
14502 west meeker boulevard,6235244000,85375,,013,394,sun city west,AZ,banner del e. webb medical center,,030093,Short Term,true,,,
18701 north 67th avenue,6235611000,85308,true,013,217,glendale,AZ,abrazo arrowhead campus,,030094,Short Term,true,,,
2735 silver creek road,9287632273,86442,true,015,139,bullhead city,AZ,western arizona regional medical center,,030101,Short Term,true,,,
5777 east mayo boulevard,4803424201,85054,,013,280,phoenix,AZ,mayo clinic hospital,,030103,Short Term,true,,,
6750 east baywood avenue,4808545050,85206,,013,111,mesa,AZ,banner heart hospital,,030105,Short Term,true,,,
4620 east baseline road,4808324770,85206,,013,23,mesa,AZ,arizona spine and joint hospital,,030107,Short Term,true,,,
6501 north 19th avenue,6027956020,85015,,013,32,phoenix,AZ,"core institute specialty hospital, the",,030108,Short Term,true,,,
13677 west mcdowell road,6238821970,85395,true,013,200,goodyear,AZ,abrazo west campus,,030110,Short Term,true,,,
2800 east ajo way,5208742000,85713,,019,245,tucson,AZ,banner-university medical center south campus,,030111,Short Term,true,,,
"2905 west warner road, suite 1",4806039000,85224,true,013,24,chandler,AZ,arizona specialty hospital,,030112,Short Term,true,,,
200 west hospital drive  (po box 860),9283384911,85941,,017,40,whiteriver,AZ,whiteriver phs indian hospital,,030113,Short Term,true,,,
1551 east tangerine road,5209013500,85755,true,019,146,oro valley,AZ,oro valley hospital,,030114,Short Term,true,,,
9201 west thomas road,6233274000,85037,,013,317,phoenix,AZ,banner estrella medical center,,030115,Short Term,true,,,
5330 south highway 95,9287882273,86426,true,015,84,fort mohave,AZ,valley view medical center,,030117,Short Term,true,,,
3555 south val vista drive,4807288000,85297,true,013,197,gilbert,AZ,mercy gilbert medical center,,030119,Short Term,true,,,
unknown address,6024444444,85941,,017,52,whiteriver,AZ,ft apache p h s indian hosp,,03011F,,false,,,
1301 south crismon road,4803586100,85209,true,013,178,mesa,AZ,"mountain vista medical center, lp",,030121,Short Term,true,,,
1900 north higley road,4805432000,85234,,013,177,gilbert,AZ,banner gateway medical center,,030122,Short Term,true,,,
7400 east thompson peak parkway,4803247001,85255,true,013,120,scottsdale,AZ,honorhealth scottsdale thompson peak med ctr,,030123,Short Term,true,,,
650 east indian school rd,6022775551,85012,,013,295,phoenix,AZ,va hosp carl t hayden va medical center,,03012F,,false,,,
37000 north gantzel road,4803944030,85140,,021,53,queen creek,AZ,banner ironwood medical center,,030130,Short Term,true,,,
750 north 40th street,6027977700,85008,,013,64,phoenix,AZ,o.a.s.i.s. hospital,,030131,Short Term,true,,,
2050 west southern avenue,4807333300,85120,,021,20,apache junction,AZ,banner goldfield medical center,,030134,Short Term,true,,,
7171 south 51st avenue,6235845100,85339,true,013,16,laveen,AZ,dignity health - arizona general hospital,,030136,Short Term,true,,,
14200 west celebrate life way,6232073000,85338,true,013,38,goodyear,AZ,western regional medical center,,030138,Short Term,true,,,
9130 east elliot road,4804104500,85212,,013,50,mesa,AZ,dignity health arizona general hospital,,030139,Short Term,true,,,
3601 s 6th ave,5207921450,85713,,019,381,tucson,AZ,va hosp southern arizona healthcare system,,03013F,,false,,,
"1848 east thomas road, suite #200",4804178096,85016,true,013,1,phoenix,AZ,heart health center llc,,030143,Short Term,true,,,
"401 calvary way, suite d",9286492600,86326,,025,1,cottonwood,AZ,the eye clinic,,030144,Short Term,true,,,
560 north switzer canyon drive,9288534444,86001,true,5,1,flagstaff,AZ,forest canyon endoscopy & surgery center pc,,030145,Short Term,true,,,
33400 north 32nd avenue,4808824327,85085,,013,70,phoenix,AZ,honorhealth sonoran crossing medical center,,030146,Short Term,true,,,
1405 south alma school road,4802567000,85286,,013,94,chandler,AZ,banner ocotillo medical center,,030147,Short Term,true,,,
16260 south rancho sahuarita boulevard,5204167100,85629,,019,18,sahuarita,AZ,northwest medical center sahuarita,,030148,Short Term,true,,,
"4860 e basline rd, ste 102",4809997081,85206,true,013,1,mesa,AZ,"heart and vascular surgical center, llc",,030149,Short Term,true,,,
*,6025555555,86301,,025,304,prescott,AZ,va hosp,,03014F,,false,,,
"10825 w mcdowel rd, suite 320",6237382911,85392,true,013,2,avondale,AZ,peak surgery center of avondale,,030150,Short Term,true,,,
"3135 e lincoln dr., ste a, phoenix az 85016",6234354670,85016,true,013,1,phoenix,AZ,the minimally invasive spine surgery center of par,,030151,Short Term,true,,,
19060 north john wayne parkway,4693417800,85139,true,021,9,maricopa,AZ,maricopa community hospital,,030152,Short Term,true,,,
yuma proving grounds,6023333333,85364,,027,5,yuma,AZ,us army hosp,,03020F,,false,,,
p o box 37,,85273,,021,22,superior,AZ,magma copper corp hosp,,03022E,,false,,,
367 n 21st ave,,85009,,013,10,phoenix,AZ,franklin hosp,,03027E,,false,,,
1901 w speedway rt 9 box 310,,85705,,019,48,tucson,AZ,arizona state elks assn hosp,,03028E,,false,,,
1857 park,,86321,,025,11,bagdad,AZ,bagdad hosp,,03029E,,false,,,
3rd + cherry sts,,85721,,019,50,tucson,AZ,university student hlth unit,,03030E,,false,,,
p o box l,,85631,,021,40,san manuel,AZ,san manuel div hosp-magma copper co,,03032E,,false,,,
500 highway 89 north,5204454860,86313,,025,225,prescott,AZ,va hospital northern arizona healthcare system,,03033F,,false,,,
520 rose lane,9286845421,85390,,013,19,wickenburg,AZ,wickenburg community hospital,,031300,Critical Access Hospitals,true,,,
450 south ocotillo avenue,5205862261,85602,,3,22,benson,AZ,benson hospital,,031301,Critical Access Hospitals,true,,,
901 west rex allen drive,5203843541,85643,,3,24,willcox,AZ,"northern cochise community hospital, inc.",,031302,Critical Access Hospitals,true,,,
501 north navajo drive,9286452424,86040,,5,25,page,AZ,page hospital,,031304,Critical Access Hospitals,true,,,
"highway 264, milepost 388",9287376000,86042,,017,15,polacca,AZ,hopi health care center,,031305,Critical Access Hospitals,true,,,
12033 agency road,9286692137,85344,,012,20,parker,AZ,parker indian health center,,031307,Critical Access Hospitals,true,,,
483 west seed farm road,5205623321,85147,,021,15,sacaton,AZ,huhu kam memorial hospital,,031308,Critical Access Hospitals,true,,,
highway 264 west and 191 south,9287554500,86505,,1,25,ganado,AZ,sage memorial hospital,,031309,Critical Access Hospitals,true,,,
1501 north williamson avenue,9282894691,86047,,017,25,winslow,AZ,little colorado medical center,,031311,Critical Access Hospitals,true,,,
101 cole avenue,5204326401,85603,,3,14,bisbee,AZ,copper queen community hospital,,031312,Critical Access Hospitals,true,,,
1171 west target range road,5202853000,85621,true,023,25,nogales,AZ,holy cross hospital,,031313,Critical Access Hospitals,true,,,
5880 south hospital drive,9284021122,85501,,7,25,globe,AZ,cobre valley regional medical center,,031314,Critical Access Hospitals,true,,,
