zip_code,bed_count,ccn,medicare_medicaid_eligible
85286,94,30147,TRUE
85629,18,30148,TRUE
85206,1,30149,TRUE
86301,304,03014F,FALSE
85392,2,30150,TRUE
85016,1,30151,TRUE
85139,9,30152,TRUE
85364,5,03020F,FALSE
85273,22,03022E,FALSE
85009,10,03027E,FALSE
85705,48,03028E,FALSE
86321,11,03029E,FALSE
85721,50,03030E,FALSE
85631,40,03032E,FALSE
86313,225,03033F,FALSE
85390,19,31300,TRUE
85602,22,31301,TRUE
85643,24,31302,TRUE
86040,25,31304,TRUE
86042,15,31305,TRUE
85344,20,31307,TRUE
85147,15,31308,TRUE
86505,25,31309,TRUE
86047,25,31311,TRUE
85603,14,31312,TRUE
85621,25,31313,TRUE
85501,25,31314,TRUE
85938,25,31315,TRUE
85344,25,31317,TRUE
85541,44,31318,TRUE
85546,25,31319,TRUE
85378,116,32000,TRUE
85013,48,32001,TRUE
85704,51,32002,TRUE
85710,34,32004,TRUE
85006,62,32005,TRUE
85203,48,32006,TRUE
85260,60,33025,TRUE
85712,80,33028,TRUE
85704,60,33029,TRUE
85304,75,33032,TRUE
85364,51,33034,TRUE
86314,44,33036,TRUE
85206,60,33037,TRUE
85258,50,33038,TRUE
85378,40,33039,TRUE
85224,50,33040,TRUE
86001,40,33041,TRUE
85381,56,33042,TRUE
85006,48,33043,TRUE
85016,435,33302,TRUE
85251,156,34004,TRUE
85006,127,34013,TRUE
85007,57,34020,TRUE
85008,475,34021,TRUE
85704,140,34022,TRUE
86004,16,34023,TRUE
85302,100,34024,TRUE
86314,16,34025,TRUE
85018,122,34026,TRUE
85929,16,34027,TRUE
85283,138,34028,TRUE
85225,82,34029,TRUE
85712,84,34030,TRUE
85027,102,34031,TRUE
85392,72,34032,TRUE
85712,36,34033,TRUE
85378,92,34034,TRUE
85374,32,34035,TRUE
86301,24,34036,TRUE
86429,24,34037,TRUE
85006,94,34038,TRUE
85007,40,34039,TRUE
85258,120,34040,TRUE
85724,0,39800,TRUE
85054,0,39801,TRUE
85006,0,39802,TRUE
85013,0,39803,TRUE
85016,0,39804,TRUE
72761,73,40001,TRUE
72830,90,40002,TRUE
72703,425,40004,TRUE
72205,615,40007,TRUE
72758,275,40010,TRUE
72833,42,40011,TRUE
72143,571,40014,TRUE
71953,65,40015,TRUE
72205,450,40016,TRUE
72601,174,40017,TRUE
72956,103,40018,TRUE
72335,118,40019,TRUE
72401,440,40020,TRUE
72764,414,40022,TRUE
71903,282,40026,TRUE
72653,268,40027,TRUE
72034,150,40029,TRUE
72117,225,40036,TRUE
72450,129,40039,TRUE
72801,170,40041,TRUE
72455,50,40047,TRUE
71701,98,40050,TRUE
71655,60,40051,TRUE
72901,492,40055,TRUE
72903,360,40062,TRUE
71753,70,40067,TRUE
72315,168,40069,TRUE
71603,300,40071,TRUE
72160,49,40072,TRUE
72104,72,40076,TRUE
71901,163,40078,TRUE
72015,177,40084,TRUE
72342,155,40085,TRUE
71730,149,40088,TRUE
72315,25,04008F,FALSE
72701,254,04009F,FALSE
72206,471,04010F,FALSE
72205,807,40114,TRUE
72405,228,40118,TRUE
72503,224,40119,TRUE
72114,2062,04011F,FALSE
71901,50,40132,TRUE
72211,110,40134,TRUE
72120,69,40137,TRUE
72201,40,04013F,FALSE
72118,47,40147,TRUE
72703,21,40152,TRUE
71801,79,40153,TRUE
72032,111,40154,TRUE
72401,44,40155,TRUE
72301,11,40156,TRUE
72211,1,40157,TRUE
72204,1,40158,TRUE
72022,25,40161,TRUE
72112,133,40163,TRUE
72032,0,04020E,FALSE
72020,8,04022E,FALSE
72855,13,41300,TRUE
72834,35,41302,TRUE
72949,25,41303,TRUE
72632,15,41304,TRUE
72958,24,41305,TRUE
72519,25,41306,TRUE
72396,25,41307,TRUE
71654,25,41308,TRUE
72476,25,41309,TRUE
72560,25,41310,TRUE
71852,25,41311,TRUE
72543,25,41312,TRUE
72031,25,41313,TRUE
72042,25,41314,TRUE
72370,25,41316,TRUE
71742,25,41317,TRUE
72927,25,41318,TRUE
71822,25,41320,TRUE
71923,25,41321,TRUE
72576,25,41322,TRUE
71635,33,41323,TRUE
72110,35,41324,TRUE
71639,25,41326,TRUE
71671,35,41327,TRUE
71653,25,41328,TRUE
72616,25,41329,TRUE
72454,25,41330,TRUE
72736,25,41331,TRUE
71913,27,42004,TRUE
72901,34,42006,TRUE
72903,25,42008,TRUE
72764,25,42009,TRUE
72205,40,42010,TRUE
72143,27,42011,TRUE
72205,55,42012,TRUE
72401,99,42013,TRUE
72205,120,43026,TRUE
72901,80,43028,TRUE
72401,80,43029,TRUE
72120,80,43031,TRUE
72703,80,43032,TRUE
72034,26,43033,TRUE
71653,10,43034,TRUE
71913,40,43035,TRUE
72758,36,43036,TRUE
72916,50,43037,TRUE
72202,336,43300,TRUE
72762,24,43301,TRUE
72703,114,44004,TRUE
72113,127,44005,TRUE
72923,114,44006,TRUE
72019,80,44007,TRUE
72205,321,44011,TRUE
72211,127,44013,TRUE
72113,60,44017,TRUE
72704,80,44019,TRUE
71854,62,44020,TRUE
72301,54,44021,TRUE
72034,80,44022,TRUE
72202,0,49801,TRUE
72205,0,49802,TRUE
72205,0,49803,TRUE
94545,129,50002,TRUE
95501,140,50006,TRUE
94010,301,50007,TRUE
94117,153,50008,TRUE
94558,171,50009,TRUE
94574,181,50013,TRUE
95642,52,50014,TRUE
93420,67,50016,TRUE
95819,419,50017,TRUE
93401,30,05001E,FALSE
92501,478,50022,TRUE
91950,237,50024,TRUE
92103,600,50025,TRUE
91942,536,50026,TRUE
95521,80,50028,TRUE
95966,153,50030,TRUE
93301,421,50036,TRUE
95128,1182,50038,TRUE
95926,298,50039,TRUE
91342,324,50040,TRUE
96080,76,50042,TRUE
94609,569,50043,TRUE
92243,161,50045,TRUE
94109,608,50047,TRUE
92220,72,50054,TRUE
94110,120,50055,TRUE
93534,341,50056,TRUE
93291,448,50057,TRUE
91204,334,50058,TRUE
93721,794,50060,TRUE
90027,345,50063,TRUE
95361,39,50067,TRUE
92868,462,50069,TRUE
94080,120,50070,TRUE
95051,327,50071,TRUE
94596,362,50072,TRUE
94589,475,50073,TRUE
94611,396,50075,TRUE
94115,239,50076,TRUE
92103,700,50077,TRUE
90732,387,50078,TRUE
95903,40,05007F,FALSE
93030,265,50082,TRUE
95204,335,50084,TRUE
92411,347,50089,TRUE
95476,83,50090,TRUE
90255,81,50091,TRUE
93710,436,50093,TRUE
91790,57,50096,TRUE
91786,281,50099,TRUE
93523,45,05009F,FALSE
92123,881,50100,TRUE
94589,111,50101,TRUE
92503,193,50102,TRUE
90033,377,50103,TRUE
90262,448,50104,TRUE
93454,227,50107,TRUE
95816,523,50108,TRUE
92393,35,05010F,FALSE
93436,170,50110,TRUE
90404,363,50112,TRUE
94403,103,50113,TRUE
92025,679,50115,TRUE
91325,435,50116,TRUE
95336,73,50118,TRUE
94945,55,05011F,FALSE
93230,230,50121,TRUE
95203,211,50122,TRUE
91208,158,50124,TRUE
95116,264,50125,TRUE
91406,362,50126,TRUE
95695,122,50127,TRUE
92056,397,50128,TRUE
92404,291,50129,TRUE
92508,152,05012F,FALSE
94945,75,50131,TRUE
91776,273,50132,TRUE
95901,173,50133,TRUE
90028,579,50135,TRUE
94954,99,50136,TRUE
91402,325,50137,TRUE
90027,507,50138,TRUE
90242,352,50139,TRUE
95655,75,05013F,FALSE
92335,438,50140,TRUE
93940,258,50145,TRUE
91010,212,50146,TRUE
90015,309,50149,TRUE
92408,15,05014F,FALSE
95945,124,50150,TRUE
94109,288,50152,TRUE
91436,150,50158,TRUE
93003,272,50159,TRUE
94535,385,05015F,FALSE
95231,196,50167,TRUE
92835,301,50168,TRUE
90602,547,50169,TRUE
93437,105,05016F,FALSE
95405,346,50174,TRUE
95382,354,50179,TRUE
90731,50,05017F,FALSE
94598,296,50180,TRUE
93933,500,05018F,FALSE
90813,539,50191,TRUE
93654,49,50192,TRUE
95076,106,50194,TRUE
94538,265,50195,TRUE
94062,208,50197,TRUE
93552,157,50204,TRUE
92055,525,05020F,FALSE
94501,145,50211,TRUE
94614,750,05021F,FALSE
91911,306,50222,TRUE
92663,409,50224,TRUE
92801,224,50226,TRUE
94110,367,50228,TRUE
92134,2050,05022F,FALSE
92843,167,50230,TRUE
91767,447,50231,TRUE
93401,135,50232,TRUE
92118,204,50234,TRUE
91505,360,50235,TRUE
93065,149,50236,TRUE
91006,374,50238,TRUE
91206,515,50239,TRUE
95065,222,50242,TRUE
92262,385,50243,TRUE
92324,456,50245,TRUE
93906,172,50248,TRUE
93436,25,05024F,FALSE
95667,111,50254,TRUE
93308,64,50257,TRUE
93703,275,05025F,FALSE
93257,120,50261,TRUE
90095,445,50262,TRUE
94550,415,05026F,FALSE
92373,229,50272,TRUE
94553,164,50276,TRUE
91346,257,50278,TRUE
92252,59,50279,TRUE
90822,1544,05027F,FALSE
96001,267,50280,TRUE
91801,144,50281,TRUE
94588,175,50283,TRUE
94015,279,50289,TRUE
90073,1400,05028F,FALSE
90404,317,50290,TRUE
95403,170,50291,TRUE
92555,439,50292,TRUE
93301,211,50295,TRUE
92311,56,50298,TRUE
90025,1106,05029F,FALSE
92307,212,50300,TRUE
95482,127,50301,TRUE
94705,555,50305,TRUE
94040,443,50308,TRUE
95661,328,50309,TRUE
94553,498,05030F,FALSE
95376,82,50313,TRUE
93306,222,50315,TRUE
94304,2046,05031F,FALSE
94602,613,50320,TRUE
92037,332,50324,TRUE
92354,533,50327,TRUE
92882,240,50329,TRUE
91342,519,05032F,FALSE
93901,263,50334,TRUE
95370,143,50335,TRUE
95240,190,50336,TRUE
92227,99,50342,TRUE
92868,415,50348,TRUE
91343,894,05034F,FALSE
90640,224,50350,TRUE
90509,380,50351,TRUE
96150,64,50352,TRUE
90503,366,50353,TRUE
93111,122,50357,TRUE
94904,325,50360,TRUE
94533,123,50367,TRUE
92311,10,05036F,FALSE
90033,1395,50373,TRUE
90502,553,50376,TRUE
91352,242,50378,TRUE
93555,15,05037F,FALSE
95124,404,50380,TRUE
91723,193,50382,TRUE
93041,25,05038F,FALSE
92543,433,50390,TRUE
90241,199,50393,TRUE
93003,242,50394,TRUE
93102,450,50396,TRUE
93210,138,50397,TRUE
92277,20,05039F,FALSE
94133,54,50407,TRUE
96113,5,05040F,FALSE
90710,251,50411,TRUE
95630,106,50414,TRUE
95531,49,50417,TRUE
92311,20,05041F,FALSE
92225,51,50423,TRUE
92037,173,50424,TRUE
95825,628,50425,TRUE
92804,219,50426,TRUE
91109,625,50438,TRUE
94305,613,50441,TRUE
95340,186,50444,TRUE
94143,1019,50454,TRUE
93301,255,50455,TRUE
94117,339,50457,TRUE
95350,461,50464,TRUE
90247,180,50468,TRUE
90017,408,50471,TRUE
91307,236,50481,TRUE
90806,570,50485,TRUE
94546,155,50488,TRUE
93611,208,50492,TRUE
94520,303,50496,TRUE
95603,97,50498,TRUE
92024,158,50503,TRUE
93405,186,50506,TRUE
94903,120,50510,TRUE
94538,193,50512,TRUE
92120,659,50515,TRUE
95608,370,50516,TRUE
92392,101,50517,TRUE
94509,111,50523,TRUE
92647,131,50526,TRUE
93635,48,50528,TRUE
92201,156,50534,TRUE
95616,48,50537,TRUE
94063,149,50541,TRUE
92627,122,50543,TRUE
93257,1226,50546,TRUE
91360,273,50549,TRUE
90007,21,05054E,FALSE
90720,146,50551,TRUE
95355,275,50557,TRUE
90034,293,50561,TRUE
92691,565,50567,TRUE
93637,106,50568,TRUE
92708,405,50570,TRUE
92270,289,50573,TRUE
90623,140,50580,TRUE
90712,170,50581,TRUE
91710,112,50586,TRUE
91773,101,50588,TRUE
92870,114,50589,TRUE
95823,158,50590,TRUE
91740,106,50597,TRUE
95817,631,50599,TRUE
92653,325,50603,TRUE
95119,247,50604,TRUE
93215,156,50608,TRUE
92806,262,50609,TRUE
93010,180,50616,TRUE
93105,16,05061E,FALSE
91355,238,50624,TRUE
90048,877,50625,TRUE
95820,12,05062E,FALSE
93465,114,50633,TRUE
92064,236,50636,TRUE
90023,127,50641,TRUE
90089,60,50660,TRUE
90023,180,50663,TRUE
94116,11,50668,TRUE
95616,46,05066E,FALSE
95823,241,50674,TRUE
91367,218,50677,TRUE
92708,210,50678,TRUE
92585,84,50684,TRUE
92505,226,50686,TRUE
94583,123,50689,TRUE
95403,173,50690,TRUE
90033,285,50696,TRUE
96001,10,50697,TRUE
92562,250,50701,TRUE
91402,96,50704,TRUE
93710,31,50708,TRUE
92395,148,50709,TRUE
93720,169,50710,TRUE
95065,30,50714,TRUE
90242,395,50717,TRUE
91706,269,50723,TRUE
93308,47,50724,TRUE
95355,23,50726,TRUE
93720,57,50732,TRUE
90605,178,50735,TRUE
91754,102,50736,TRUE
91754,210,50737,TRUE
91733,104,50738,TRUE
90301,346,50739,TRUE
90291,145,50740,TRUE
90036,204,50742,TRUE
92805,189,50744,TRUE
92869,84,50745,TRUE
92705,282,50746,TRUE
92704,178,50747,TRUE
95337,224,50748,TRUE
91403,153,50755,TRUE
92120,311,50757,TRUE
91763,106,50758,TRUE
94531,150,50760,TRUE
91356,245,50761,TRUE
90026,187,50763,TRUE
96001,246,50764,TRUE
92555,101,50765,TRUE
95991,14,50766,TRUE
95688,72,50767,TRUE
92618,70,50769,TRUE
92563,106,50770,TRUE
90650,117,50771,TRUE
95661,340,50772,TRUE
92592,140,50775,TRUE
90806,157,50776,TRUE
94577,108,50777,TRUE
92354,343,50778,TRUE
90059,131,50779,TRUE
92780,135,50780,TRUE
91767,99,50782,TRUE
95932,48,50783,TRUE
93274,112,50784,TRUE
90036,17,50785,TRUE
92835,1,50786,TRUE
90212,1,50787,TRUE
94115,1,50788,TRUE
94598,1,50789,TRUE
93105,1,50790,TRUE
91206,1,50791,TRUE
91360,1,50792,TRUE
93105,1,50793,TRUE
90720,1,50794,TRUE
93465,1,50795,TRUE
92211,1,50796,TRUE
93105,1,50797,TRUE
94558,1,50798,TRUE
91730,1,50799,TRUE
91324,1,50800,TRUE
90020,1,50801,TRUE
91307,1,50802,TRUE
90211,1,50803,TRUE
91324,1,50804,TRUE
93311,1,50805,TRUE
94598,1,50806,TRUE
93551,1,50807,TRUE
91307,1,50808,TRUE
92374,1,50809,TRUE
94520,1,50811,TRUE
93311,1,50812,TRUE
91403,1,50813,TRUE
91436,1,50814,TRUE
92108,1,50815,TRUE
92835,1,50816,TRUE
92610,1,50817,TRUE
91356,1,50818,TRUE
91361,1,50819,TRUE
93277,1,50820,TRUE
91405,1,50821,TRUE
93309,1,50822,TRUE
91702,1,50823,TRUE
91105,1,50824,TRUE
90505,1,50825,TRUE
90210,1,50827,TRUE
90212,1,50828,TRUE
90703,1,50829,TRUE
90505,1,50830,TRUE
91361,1,50831,TRUE
93420,1,50832,TRUE
94015,1,50833,TRUE
92704,1,50834,TRUE
94538,1,50836,TRUE
92064,1,50837,TRUE
93105,1,50838,TRUE
91786,1,50839,TRUE
90022,12,05083E,FALSE
92103,1,50840,TRUE
93720,1,50841,TRUE
93301,1,50842,TRUE
91006,1,50843,TRUE
91764,1,50844,TRUE
91767,1,50845,TRUE
90806,1,50846,TRUE
93454,1,50847,TRUE
94108,1,50848,TRUE
90211,1,50850,TRUE
91361,1,50852,TRUE
91411,1,50853,TRUE
92503,13,05085E,FALSE
95945,25,05086E,FALSE
94704,88,05087E,FALSE
94122,60,05090E,FALSE
91107,125,05098E,FALSE
94577,16,05099E,FALSE
93635,10,05101E,FALSE
93105,31,05106E,FALSE
90801,350,05113F,FALSE
92161,5,05114F,FALSE
92011,0,05115E,FALSE
92357,0,05127E,FALSE
90073,1327,05128F,FALSE
92278,40,05129F,FALSE
96122,9,51300,TRUE
93561,24,51301,TRUE
93545,25,51302,TRUE
93546,17,51303,TRUE
95338,34,51304,TRUE
96028,121,51305,TRUE
95988,47,51306,TRUE
90704,12,51307,TRUE
96104,4,51308,TRUE
95542,16,51309,TRUE
94121,120,05130F,FALSE
95490,25,51310,TRUE
95948,24,51311,TRUE
92352,17,51312,TRUE
93240,27,51314,TRUE
96093,25,51315,TRUE
96097,28,51316,TRUE
95422,32,51317,TRUE
95540,25,51318,TRUE
96067,33,51319,TRUE
96130,38,51320,TRUE
95448,26,51321,TRUE
92363,25,51323,TRUE
93514,25,51324,TRUE
95437,25,51325,TRUE
95971,25,51326,TRUE
96020,26,51327,TRUE
96161,72,51328,TRUE
95453,30,51329,TRUE
96101,16,51330,TRUE
93463,11,51331,TRUE
95249,25,51332,TRUE
93555,72,51333,TRUE
93023,91,51334,TRUE
92315,30,51335,TRUE
93930,25,51336,TRUE
95023,25,51337,TRUE
92024,20,51990,TRUE
90031,42,51991,TRUE
94116,13,51993,TRUE
90026,99,52031,TRUE
90056,81,52032,TRUE
95630,58,52033,TRUE
94577,99,52034,TRUE
92683,109,52035,TRUE
92104,70,52036,TRUE
91764,91,52037,TRUE
90638,277,52038,TRUE
92821,48,52039,TRUE
94904,120,52043,TRUE
92103,110,52044,TRUE
91706,95,52045,TRUE
90723,177,52046,TRUE
96001,56,52047,TRUE
91730,55,52049,TRUE
90247,58,52050,TRUE
92571,40,52052,TRUE
91016,49,52054,TRUE
95354,36,52055,TRUE
95472,37,52057,TRUE
93309,86,53031,TRUE
93720,62,53032,TRUE
92782,117,53034,TRUE
92411,60,53037,TRUE
92354,25,53038,TRUE
90067,138,53039,TRUE
95355,50,53040,TRUE
92270,50,53041,TRUE
92563,50,53042,TRUE
92029,52,53043,TRUE
93306,50,53044,TRUE
93636,358,53300,TRUE
94609,190,53301,TRUE
90027,568,53302,TRUE
92123,518,53303,TRUE
92868,192,53304,TRUE
94304,396,53305,TRUE
92691,54,53306,TRUE
92866,6,53308,TRUE
90806,354,53309,TRUE
95817,80,53311,TRUE
90095,209,54009,TRUE
90026,55,54028,TRUE
91770,97,54032,TRUE
90505,166,54053,TRUE
90703,187,54055,TRUE
91724,95,54069,TRUE
94590,61,54074,TRUE
91942,66,54075,TRUE
93001,87,54077,TRUE
91107,118,54078,TRUE
90011,72,54083,TRUE
95823,171,54087,TRUE
94112,13,54089,TRUE
92373,89,54093,TRUE
92128,80,54095,TRUE
95826,73,54096,TRUE
95841,125,54104,TRUE
94538,96,54110,TRUE
91710,106,54111,TRUE
92110,109,54114,TRUE
94558,1418,54122,TRUE
95204,35,54123,TRUE
95501,16,54124,TRUE
93110,16,54125,TRUE
92506,68,54130,TRUE
94524,73,54131,TRUE
90650,1106,54133,TRUE
92663,34,54135,TRUE
94143,56,54144,TRUE
92123,149,54145,TRUE
94601,26,54146,TRUE
91335,10,54147,TRUE
91356,60,54148,TRUE
94578,16,54149,TRUE
95051,24,54150,TRUE
95401,95,54151,TRUE
95062,16,54152,TRUE
90806,20,54153,TRUE
95138,80,54154,TRUE
93309,90,54155,TRUE
91740,128,54157,TRUE
92123,521,59800,TRUE
90048,0,59801,TRUE
94305,0,59803,TRUE
94304,0,59804,TRUE
92123,0,59805,TRUE
94109,0,59806,TRUE
94143,0,59807,TRUE
95817,0,59808,TRUE
95816,0,59809,TRUE
92103,0,59810,TRUE
92868,0,59811,TRUE
90095,0,59812,TRUE
90027,0,59813,TRUE
92354,0,59814,TRUE
92037,0,59815,TRUE
92868,0,59816,TRUE
90509,0,59818,TRUE
90033,0,59819,TRUE
92501,0,59821,TRUE
80631,378,60001,TRUE
80501,186,60003,TRUE
80601,98,60004,TRUE
81401,75,60006,TRUE
81101,59,60008,TRUE
80033,364,60009,TRUE
80524,281,60010,TRUE
80204,398,60011,TRUE
81004,408,60012,TRUE
81301,82,60013,TRUE
80218,680,60014,TRUE
80228,593,60015,TRUE
81003,350,60020,TRUE
80909,583,60022,TRUE
81501,346,60023,TRUE
80045,568,60024,TRUE
80303,211,60027,TRUE
80218,565,60028,TRUE
80912,135,06002F,FALSE
80538,115,60030,TRUE
80907,522,60031,TRUE
80220,422,60032,TRUE
80113,368,60034,TRUE
80913,250,06003F,FALSE
80701,50,60044,TRUE
80487,39,60049,TRUE
81505,78,60054,TRUE
80220,447,06005F,FALSE
80210,368,60064,TRUE
80229,157,60065,TRUE
81038,635,06006F,FALSE
81416,49,60071,TRUE
81601,78,60075,TRUE
80751,36,60076,TRUE
81501,103,06007F,FALSE
81657,58,60096,TRUE
80813,15,06009E,FALSE
80012,346,60100,TRUE
80027,66,60103,TRUE
80023,196,60104,TRUE
80206,46,60107,TRUE
80124,186,60112,TRUE
80122,231,60113,TRUE
80138,104,60114,TRUE
81003,35,60115,TRUE
80026,234,60116,TRUE
81301,12,60117,TRUE
80443,35,60118,TRUE
80538,180,60119,TRUE
80429,15,06011E,FALSE
80228,48,60124,TRUE
80109,50,60125,TRUE
80528,22,60126,TRUE
80504,51,60128,TRUE
80021,22,60129,TRUE
80918,22,60130,TRUE
80634,50,60131,TRUE
80129,87,60132,TRUE
80901,119,06015E,FALSE
80045,50,06019E,FALSE
81657,0,06020E,FALSE
81036,25,61300,TRUE
81132,17,61301,TRUE
81521,25,61302,TRUE
80723,25,61303,TRUE
80731,25,61304,TRUE
80734,16,61305,TRUE
80821,15,61306,TRUE
81648,25,61307,TRUE
81140,17,61308,TRUE
80758,15,61309,TRUE
80737,25,61310,TRUE
81073,23,61311,TRUE
80517,23,61312,TRUE
80807,19,61313,TRUE
81625,25,61314,TRUE
80759,22,61315,TRUE
81089,25,61316,TRUE
81650,25,61317,TRUE
80459,25,61318,TRUE
80461,25,61319,TRUE
81230,24,61320,TRUE
81082,25,61321,TRUE
81201,25,61322,TRUE
81052,25,61323,TRUE
81611,25,61324,TRUE
81641,16,61325,TRUE
80863,15,61326,TRUE
81321,25,61327,TRUE
81147,11,61328,TRUE
81050,25,61336,TRUE
80810,25,61343,TRUE
81212,25,61344,TRUE
80218,68,62009,TRUE
80113,93,62011,TRUE
80204,63,62012,TRUE
80011,37,62013,TRUE
80229,54,62014,TRUE
80534,20,62017,TRUE
80011,122,63027,TRUE
80910,64,63030,TRUE
80534,40,63033,TRUE
80120,40,63034,TRUE
80229,31,63035,TRUE
