CHG CODE,CHG CODE DESC,PRICE,AS OF DATE
2543,LABOR ROOM          ,251,3/26/2020
2550,EMERGENCY ROOM TRAY ,36,3/26/2020
2568,STOMA BELT          ,17,3/26/2020
2576,SPLINT ELBOW METAL  ,11,3/26/2020
2584,CATH 3WAY FLY 18X5  ,45,3/26/2020
2667,"FEEDING TUBE, INFANT",7,3/26/2020
2691,FLEETS ENEMA REG    ,4,3/26/2020
2709,FLEETS OIL RET ENEM ,7,3/26/2020
2717,FLEETS PEDIATRIC EN ,4,3/26/2020
2725,CATH TRAY FOLEY 16FR,45,3/26/2020
2733,CAST FOOT ER        ,25,3/26/2020
2741,SPLINT SHORT ARM MET,17,3/26/2020
2832,VENIKIT ABBOC. AL SZ,7,3/26/2020
2840,CAST HAND ER        ,14,3/26/2020
2857,SPLINT HAND         ,11,3/26/2020
2881,HEAD HALTER DISP.   ,8,3/26/2020
2899,HEAD HALT WITH BAR  ,48,3/26/2020
2949,I & D TRAY NO OR    ,23,3/26/2020
2964,IRRIG H2O W/HNG 1000,30,3/26/2020
2972,IRRAGATIN TRAY 60CC ,18,3/26/2020
3012,KIRSCHNER TRAC BOW  ,46,3/26/2020
3053,O B PADS STERILE    ,11,3/26/2020
3095,LARYNGOSCOPY TRAY   ,18,3/26/2020
3103,GAVAGE TRAY P/U     ,12,3/26/2020
3129,CAST LONG LEG ADULT ,43,3/26/2020
3137,CAST LONG LEG CHILD ,32,3/26/2020
3152,CAST SHORT LEG ADULT,32,3/26/2020
3160,CAST SHORT LEG CHILD,32,3/26/2020
3178,SPLINT SHORT LEG    ,18,3/26/2020
3186,"LEVIN TUBE, RED RUBR",12,3/26/2020
3236,SURGIPRO MESH 9 X 12,254,3/26/2020
3251,CATH MALE COT 28FR  ,116,3/26/2020
3269,MILLER ABB. TUBE    ,107,3/26/2020
3277,"CATHETER, MUSHROOM  ",12,3/26/2020
3285,NASAL PAK TRAY      ,8,3/26/2020
3293,LAP SPONGE 18X18 5/P,15,3/26/2020
3319,TRACTION - TRAPEZE  ,55,3/26/2020
3335,PARACENTESIS TRAY   ,36,3/26/2020
3343,"TRACT BELT, PELVI   ",68,3/26/2020
3384,PROCTOSCOPY         ,450,3/26/2020
3400,TUR PACK            ,48,3/26/2020
3426,RIB BELT LADIES SM  ,31,3/26/2020
3459,RUSH PIN 3/16X113/4 ,99,3/26/2020
3475,SANITARY BELT       ,7,3/26/2020
3491,NEEDLE BIOP. TRU CUT,79,3/26/2020
3509,SHEEPSKIN           ,62,3/26/2020
3525,LUMBAR PUNCT TRY ADT,77,3/26/2020
3533,STEINMAN PIN 9X5/64 ,17,3/26/2020
3558,CYSTOSCOPY PAK II   ,116,3/26/2020
3574,SURGICEL 2 X 3      ,25,3/26/2020
3582,SURGICEL 2 X 14     ,170.91,3/26/2020
3590,SPLINT THOMAS       ,24,3/26/2020
3608,THORACENTESIS TRAY  ,54,3/26/2020
3616,THORACOTOMY TRAY P/U,36,3/26/2020
3640,TRAC CARE TRAY      ,29,3/26/2020
3657,TRAC TRAY W/O TUBE  ,36,3/26/2020
3665,TRACHEOTOMY TUBE    ,17,3/26/2020
3673,CATH URETHERAL      ,12,3/26/2020
3699,VAGINAL EXAM TRY P/U,29,3/26/2020
3707,TUR SET 6544        ,14,3/26/2020
3731,WALKING IRON SINGLE ,10,3/26/2020
3764,ABD  PAD            ,3,3/26/2020
3772,"TAPE, SILK 1""       ",4,3/26/2020
3780,"TAPE SILK 2""        ",14,3/26/2020
3806,"TAPE, ADHES. 1""     ",6,3/26/2020
3814,"TAPE, ADHES. 2""     ",10,3/26/2020
3822,"TAPE, ADHES. 3""     ",14,3/26/2020
3848,VITAMIN B-12/SER    ,189,3/26/2020
3855,EYEPAD OVAL         ,3,3/26/2020
3863,"GAUZE ROLL 1""       ",3,3/26/2020
3871,"GAUZE ROLL 2""       ",4,3/26/2020
3889,"GAUZE ROLL 3""       ",6,3/26/2020
3897,"GAUZE ROLL 4""       ",8,3/26/2020
3905,KERLIX ROLL/SOFT    ,8,3/26/2020
3954,K-Y JELLY TUBE 5 OZ ,9,3/26/2020
3970,SYR. TOMMEY DISP.   ,7,3/26/2020
4002,PHISOHEX 5 OZ. BOTTL,8,3/26/2020
4010,BUTTERFLY 21 X 3/4  ,6,3/26/2020
4028,IV CATH 18X1 1/4    ,8,3/26/2020
4036,DRUM CART CATHETER  ,36,3/26/2020
4051,P. U. C.            ,4,3/26/2020
4242,EXAM - LIMITED      ,375,3/26/2020
4259,EXAM-BRIEF          ,205,3/26/2020
4358,SUTURE EACH MISC    ,29,3/26/2020
4424,IRRIG NACL NHNG     ,28,3/26/2020
4432,IRRIG H2O NO/HNG 500,25,3/26/2020
4440,CLYSIS SET 2C0103   ,23,3/26/2020
4457,TRACT. CALDWELL HNG ,74,3/26/2020
4473,SOLUSET 150X60Y 1882,34,3/26/2020
4481,IV ADM SET VENOSET  ,18,3/26/2020
4499,DRESSING SET P/U    ,10,3/26/2020
4507,CLIP SET P/U        ,10,3/26/2020
4515,LEMON GLYC SWAB     ,3,3/26/2020
4531,ELECTRODE TRAY P/U  ,13,3/26/2020
4556,IV TRAY PER USE     ,18,3/26/2020
4564,ELECTRODES MONITOR  ,4,3/26/2020
4572,CATHETER PLUG       ,3,3/26/2020
4580,VENOSET-30          ,4,3/26/2020
4598,PACEMAKER KIT DISP. ,233,3/26/2020
4606,LOTION PER BOTTLE   ,7,3/26/2020
4630,HEEL ELBOW PAD      ,29,3/26/2020
4648,I0DO GAUZE 1/4 IN.  ,17,3/26/2020
4663,IODO GAUZE 1 X 5    ,21,3/26/2020
4689,KLING 2IN STERILE   ,4,3/26/2020
4697,KLING 3IN STERILE   ,4,3/26/2020
4705,KLING 4IN STERILE   ,4,3/26/2020
4721,AGNO3 STICK EACH    ,3,3/26/2020
4739,ALCOHOL PINT C100   ,3,3/26/2020
4747,RAYON SQ. SM        ,3,3/26/2020
4754,PEROXIDE 16OZ       ,3,3/26/2020
4762,VASE GAU STRIP P-U  ,3,3/26/2020
4788,ENEMA BAG           ,9,3/26/2020
4796,"CATHETER, FILIFORM E",20,3/26/2020
4804,FLATUS BAG EVAC     ,7,3/26/2020
4838,GAST. LAVAGE TRAY   ,17,3/26/2020
4846,MALE INCONO BAG     ,6,3/26/2020
4853,PENROSE DRAIN       ,4,3/26/2020
4861,"PITCHER, STERILE    ",3,3/26/2020
4895,VAGINAL IRR UNIT    ,11,3/26/2020
4903,AQUA PAD MTR/MOD SET,18,3/26/2020
4929,BONE MARROW TRAY P/U,36,3/26/2020
4937,CUT DOWN TRAY P/U   ,36,3/26/2020
4945,SCAPEL DISP #10     ,7,3/26/2020
4952,ENDOTRACHEAL TRAY   ,24,3/26/2020
4978,ENDO TUBE W/CONN 7.0,28,3/26/2020
4994,EYE EAR TRAY        ,25,3/26/2020
5017,LIVER BIOPSY TRAY PU,33,3/26/2020
5041,PREP TRAY/DISP      ,7,3/26/2020
5082,SUSPENSORY MED      ,44,3/26/2020
5090,THERMOMETER ORAL    ,7,3/26/2020
5108,CVP STAND USE OLD   ,10,3/26/2020
5124,PATIENT CARE KIT    ,8,3/26/2020
5132,"BRACE, CERV. 4 POST ",196,3/26/2020
5157,COLLAR CERV FOAM    ,59,3/26/2020
5173,"ACETONE,URINE/BLOOD ",37,3/26/2020
5181,"SMEAR,ACFT 87206    ",120,3/26/2020
5199,"CULT,AFBSM          ",140,3/26/2020
5215,ACID PHOSPHATASE    ,141,3/26/2020
5264,BLOOD ALCOHOL       ,128,3/26/2020
5272,ALDOLASE            ,141,3/26/2020
5280,"ALKALINE, PHOS      ",112,3/26/2020
5298,"AMMONIA, BLOOD      ",151,3/26/2020
5306,AMYLASE             ,125,3/26/2020
5348,ASO                 ,138,3/26/2020
5363,ARSENIC QUAL.       ,130,3/26/2020
5397,"POTASSIUM,URINE     ",199,3/26/2020
5447,BLEEDING TIM-IVY    ,61,3/26/2020
5470,ARTER BLD GAS.      ,320,3/26/2020
5504,ABO BLOOD TYPE      ,327,3/26/2020
5579,CALCIUM SERUM       ,112,3/26/2020
5603,CALCIUM URN QUAN    ,96,3/26/2020
5629,STONE ANALYSIS      ,138,3/26/2020
5660,CELL CO DIF CSF     ,79,3/26/2020
5686,CERULOPLASMIN       ,75,3/26/2020
5728,CHOLESTEROL         ,106,3/26/2020
5801,COLD AGGLU QUAN     ,101,3/26/2020
5827,CBC W/AUTO DIFF     ,118,3/26/2020
5843,DAT                 ,120,3/26/2020
5876,C-REACT PROT.       ,101,3/26/2020
5884,"CREATININE,SER      ",116,3/26/2020
5892,CPK                 ,151,3/26/2020
5900,CREATININE  SERUM   ,116,3/26/2020
5918,CREATININE CLEAR    ,151,3/26/2020
5926,CRYOGOBULIN QUAL    ,54,3/26/2020
5934,"CULT,MISC           ",146,3/26/2020
5975,GLUCOSE BODY FLUIDS ,76,3/26/2020
5983,DIGOXIN             ,240,3/26/2020
5991,MANUAL DIFF         ,65,3/26/2020
6007,DRUG SCREEN         ,318,3/26/2020
6031,EOSINOPHIL COUNT    ,76,3/26/2020
6098,STOOL FAT           ,90,3/26/2020
6114,FEBRILE AGGLUT      ,39,3/26/2020
6163,FIBRINOGEN SCREEN   ,97,3/26/2020
6205,FOLATE SER          ,237,3/26/2020
6239,"CULT,FUNG           ",97,3/26/2020
6338,GLUC FASTING        ,76,3/26/2020
6346,GGTP                ,112,3/26/2020
6353,GLUCOSE 6-PD SCR    ,120,3/26/2020
6379,GLUCOSE TOL 3 HR    ,248,3/26/2020
6387,GLUCOSE TOL 4 HR    ,296,3/26/2020
6395,GLUCOSE TOL 5 HR    ,369,3/26/2020
6403,"SMEAR,GMST          ",76,3/26/2020
6411,HEAVY MET ARSENIC UR,73,3/26/2020
6437,HEMATOCRIT          ,28,3/26/2020
6445,HEMOGLOBIN          ,28,3/26/2020
6452,HEMOGLO ELECTRO     ,163,3/26/2020
6593,IGE                 ,235,3/26/2020
6619,TIBC                ,122,3/26/2020
6627,INSULIN SERUM       ,161,3/26/2020
6635,IRON                ,101,3/26/2020
6668,KETOSTEROIDS        ,254,3/26/2020
6676,LACTIC ACID SER     ,161,3/26/2020
6684,LDH SERUM/UR/BF     ,112,3/26/2020
6700,LDH ELECTRO-PRO     ,146,3/26/2020
6718,DIGOXIN             ,240,3/26/2020
6726,RHEUMATOID FACTOR   ,125,3/26/2020
6759,LEAD UR OR SERUM    ,151,3/26/2020
6775,LIPASE              ,101,3/26/2020
6791,LIPIDS-PROFILE      ,112,3/26/2020
6809,LIPOPROT ELECT.     ,146,3/26/2020
6817,"LITHIUM, SERUM      ",125,3/26/2020
6833,L. E. SCREEN        ,171,3/26/2020
6858,"MAGNESIUM, SERUM    ",112,3/26/2020
6866,MALARIA SMEAR       ,101,3/26/2020
6882,MONOSPOT            ,90,3/26/2020
6890,PINWORM PREP        ,76,3/26/2020
6908,OCCULT BLOOD OTHER/G,75,3/26/2020
6924,OSMOLA UR OR BLD    ,66,3/26/2020
6932,OVA CYSTS & PARASITE,125,3/26/2020
6957,"ANTIBODY, ID.       ",850,3/26/2020
6973,PTT APTT            ,127,3/26/2020
7054,PHOSPHORUS SERUM    ,101,3/26/2020
7070,OCCULT BLD FECES    ,75,3/26/2020
7104,"PLATELET COUNT,AUTO ",13.44,3/26/2020
7112,RPR                 ,76,3/26/2020
7120,PORPHOBILINOGEN     ,75,3/26/2020
7138,PORPHYRINS-QUANT    ,138,3/26/2020
7146,PORPHYRINS SCREEN   ,40,3/26/2020
7153,"POTASSIUM, SERUM    ",116,3/26/2020
7187,CARBON MONOXIDE     ,45,3/26/2020
7203,SPE                 ,186,3/26/2020
7211,CSF-TOTAL PROTEIN   ,101,3/26/2020
7237,TOTAL PROT. URINE   ,88,3/26/2020
7245,"PROT,TOT SR (TSP)   ",112,3/26/2020
7260,PROTHROMBIN TIME    ,96,3/26/2020
7278,"QUINIDINE,SERUM     ",215,3/26/2020
7310,RETICULOCYTE CNT    ,76,3/26/2020
7328,COOMBS(INDIRECT)    ,125,3/26/2020
7344,RH ANTIBODY TITER   ,138,3/26/2020
7371,RH BLOOD TYPE       ,69,3/26/2020
7385,SALICY UR/SER       ,90,3/26/2020
7419,ESR                 ,76,3/26/2020
7435,SEMEN ANALY COMP    ,217,3/26/2020
7443,HIAA-5 SCR SERO.    ,88,3/26/2020
7450,HIAA-5 24 HR URIN   ,134,3/26/2020
7468,SICKLE CELL PREP    ,61,3/26/2020
7534,SODIUM SERUM        ,116,3/26/2020
7674,"CHLOR (SERUM,CSF)   ",116,3/26/2020
7757,CALCIUM 24 HOUR URIN,102,3/26/2020
7831,SGOT- (AST)         ,125,3/26/2020
7856,TRIGLYCERIDES       ,151,3/26/2020
7914,TULAREMIA           ,101,3/26/2020
7930,BUN                 ,116,3/26/2020
7948,URIC AC(SM)         ,112,3/26/2020
7955,UA                  ,88,3/26/2020
7963,HCG-URINE-QUAL      ,88,3/26/2020
8045,"BILIRUBIN,TOTAL     ",88,3/26/2020
8052,VMA                 ,128,3/26/2020
8086,SCHILLINGS TEST     ,354,3/26/2020
8094,VITAMIN C           ,36,3/26/2020
8110,"FUNGUS,WET PREP     ",68,3/26/2020
8128,WHIT BLD CEL CT.    ,65,3/26/2020
8144,PARATYPHOID-(PTH)   ,154,3/26/2020
8250,CROSSMATCH IMMED SPI,430,3/26/2020
8276,"FFP ( A,B,O) CHC    ",128,3/26/2020
8300,MX RHOG WORK-UP ABO ,73,3/26/2020
8334,OP ROOM 1-30MIN     ,2500,3/26/2020
8342,OP ROOM 31-60MIN    ,2025,3/26/2020
8359,OR ROOM ADD 15 MIN  ,106,3/26/2020
8367,OP ROOM ADD 30 MIN  ,1250,3/26/2020
8375,OP ROOM ADD1 HOUR   ,787,3/26/2020
8391,BRONCHOSCOPY        ,800,3/26/2020
8409,SEG                 ,46,3/26/2020
8433,LAP PACK DISP. W/ISO,164,3/26/2020
8441,PERI/GYN PAK DISP   ,67,3/26/2020
8458,ORTHO/NEURO PAK W/  ,120,3/26/2020
8466,"GOWNS,STER 1/PK SURG",36,3/26/2020
8474,BOVIE UNIT PER USE  ,15,3/26/2020
8482,UTERINE SUC PER USE ,23,3/26/2020
8490,HYFRECATOR PER USE  ,31,3/26/2020
8557,AS S-25             ,83,3/26/2020
8763,SPLINT LONG LEG     ,24,3/26/2020
8771,IV BURETRO SET 0.65 ,46,3/26/2020
8821,CAST SPICA ADULT ER ,162,3/26/2020
8839,CAST BOOT ER        ,29,3/26/2020
8847,WALKING HEEL DUAL   ,11,3/26/2020
8854,"SPLINT, PLASTER-3 IN",3,3/26/2020
8870,SMITH-PET NAIL PLAT ,59,3/26/2020
8888,TIBIA BOLT          ,36,3/26/2020
8896,HANSEN-ST. NAIL 46CM,150,3/26/2020
8904,BONE PLATE SLOT 51/2,118,3/26/2020
8912,BUTT SCREWS 3/8     ,34,3/26/2020
8920,JEWITT NAILS 31/2X3 ,262,3/26/2020
8938,PUGH NAILS 3X135    ,615,3/26/2020
8953,F R THOMPSON 2X51   ,935,3/26/2020
8979,KIRSCHNER WIRE      ,17,3/26/2020
8995,VEN CAT CV 1042 4F  ,87,3/26/2020
9001,VEN CAT CV 1046 5F  ,87,3/26/2020
9019,VEN CAT CV 1048 6F  ,87,3/26/2020
9027,VEN CAT CV 1058 4F  ,46,3/26/2020
9035,VEN CAT CV 1060 6F  ,46,3/26/2020
9043,VEN CAT CV 1000 6F  ,123,3/26/2020
9050,VEN CAT CV 1002 8F  ,140,3/26/2020
9068,VEN CAT CV 1004 810F,140,3/26/2020
9076,VEN CAT CV 1010 10F ,46,3/26/2020
9092,CHEST TRAY CAT EACH ,12,3/26/2020
9100,HEMOVAC MED         ,52,3/26/2020
9126,GASTRIC SUMP TUBE   ,31,3/26/2020
9134,SPRING DECOM TUBE   ,46,3/26/2020
9217,T-TUBE   10 FR      ,44,3/26/2020
9225,BILE BAG            ,34,3/26/2020
9241,EZ PREP OTHER #4483 ,36,3/26/2020
9266,AIR DERMATONE BLADE ,88,3/26/2020
9373,INTERLINK/SEC MED SE,4,3/26/2020
9407,"COBAN BANDAGE 3""    ",10,3/26/2020
9449,SUCTION TUBE 10 FOOT,9,3/26/2020
9456,ULTRA CARE TUCK     ,59,3/26/2020
9472,TRACH T ADAPTER     ,4,3/26/2020
9498,ULTRA CARE FLAT     ,45,3/26/2020
9506,INTERLINK/STRAIGHT B,12,3/26/2020
9530,SPUTUM KIT ONLY     ,6,3/26/2020
9589,INCENTA. SPIROM.    ,415,3/26/2020
9605,CANNULA NASAL       ,8,3/26/2020
9704,STERI DRAPE UROLOGY ,32,3/26/2020
9720,URIC ACID           ,112,3/26/2020
9738,SP 02 LEVEL         ,63,3/26/2020
9746,NEBULIZER PREFILL   ,42,3/26/2020
9753,VENTILATOR SET UP/IN,3324,3/26/2020
9795,ULTRA CARE PILLOW   ,36,3/26/2020
9811,PF/BRONCHODITORS    ,614,3/26/2020
9829,VENTILATOR SUBSEQUEN,3187,3/26/2020
9845,CPT/PD/FLUTTER-SUBSE,327,3/26/2020
9878,ARTERIAL PUNCTURE   ,327,3/26/2020
9902,PFT. PRE STUDY ONLY ,178,3/26/2020
10058,INP SOL SET         ,23,3/26/2020
10082,ADULT RESUSCITATION ,290,3/26/2020
10165,FACTOR-V-ASSAY      ,239,3/26/2020
10199,CALL TIME           ,60,3/26/2020
10207,GASTROSCOPY         ,750,3/26/2020
10249,OP ROOM ADD2 HOURS  ,1273,3/26/2020
10256,REC RM CALL         ,13,3/26/2020
10280,PATIENT FULL MEAL   ,4,3/26/2020
10322,SURGI-TEMP          ,9,3/26/2020
10348,SUTURE SET W/O      ,31,3/26/2020
10355,DRAPE BARRIER 18X20 ,13,3/26/2020
10389,GELFOAM PHARM       ,13,3/26/2020
10397,URETHRAL CATHETER   ,26,3/26/2020
10405,CHEST DRAIN HEIMLICH,17,3/26/2020
10439,4X4 SPONGES PER CAN ,10,3/26/2020
10447,DELEE SUCTION 6.5FR ,15,3/26/2020
10454,CRUTCH PADS PER PR  ,24,3/26/2020
10462,CRUTCH TIPS PER PR  ,17,3/26/2020
10488,INCONTINENCE CLAMP  ,18,3/26/2020
10496,TELFA STERILE 8X3   ,3,3/26/2020
10512,TELFA STERILE 4X3   ,3,3/26/2020
10520,TOWELS STERILE/1 PK ,3,3/26/2020
10538,"SHEET, STERILE LARGE",3,3/26/2020
10546,GREEN STERILE DRAW  ,3,3/26/2020
10553,PILLOW CASES STERILE,3,3/26/2020
10561,"GOWNS, CLOTH STERILE",3,3/26/2020
10579,TRACTION PELVIC     ,63,3/26/2020
10587,SPREADER BAR OP     ,11,3/26/2020
10629,STERI STRIP 1/4     ,4,3/26/2020
10637,INTERLINK/FILTER EXT,8,3/26/2020
10645,INPERSOL TUBING     ,14,3/26/2020
10652,"CATHETER, DIALYSIS S",22,3/26/2020
10702,ELECTROLYTE PANEL   ,255,3/26/2020
10728,GLU 1 HR/GLUCOLA    ,84,3/26/2020
10785,"SMEAR,KOH 87220     ",65,3/26/2020
10819,"PKU/AMINO ACIDS,6OR ",29,3/26/2020
10835,BABY MAGIC LOTION   ,4,3/26/2020
10843,BABY MAGIC BATH C125,6,3/26/2020
10926,IVP                 ,900,3/26/2020
11056,ANIT-NUC. ANTBY     ,151,3/26/2020
11098,AMYLASE 24HR URN    ,116,3/26/2020
11163,IRRIG NACL NHNG     ,36,3/26/2020
11171,BOOGIES PER USE     ,15,3/26/2020
11213,CPK ISOENZYMES      ,206,3/26/2020
11239,CYSTINE URN QUAL    ,97,3/26/2020
11251,EFFEREVESCENT POTASS,0.01,3/26/2020
11270,THYROID PEROXIDASE A,138,3/26/2020
11296,AN-50 THOROVAC DISP ,209,3/26/2020
11338,URINAL DISP.        ,4,3/26/2020
11346,"BEDPAN, DISP.       ",8,3/26/2020
11353,"WASH BASIN, DISP    ",4,3/26/2020
11387,CERVIPILLO          ,69,3/26/2020
11486,PLACENTA RMVL TABLE ,83,3/26/2020
11502,URETERAL STENT      ,350,3/26/2020
11510,CATH INGRAM TROC AR ,69,3/26/2020
